stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0006017017371952697,2.707899061643161
AAPL,Shared-target JEPA--MAE,3,0.001479952129061902,-6.660377947792019
AVGO,GRU,3,-0.0032471250603660212,4.511995318294212
AVGO,Shared-target JEPA--MAE,3,-0.006595466039308451,9.164633741570073
NVDA,GRU,3,-0.00238489488553556,4.140583915583557
NVDA,Shared-target JEPA--MAE,3,0.0008986993617411815,-1.5602952334459441
TSLA,GRU,3,-0.00153637288550168,1.753142437935461
TSLA,Shared-target JEPA--MAE,3,-0.007571656781816867,8.639955153433013
WMT,GRU,3,-0.0015972813777048202,8.74385937480868
WMT,Shared-target JEPA--MAE,3,-0.0006122943388741907,3.35182997174889
