stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0009232353964887287,4.154929443084271
AAPL,Shared-target JEPA--MAE,3,8.298335458618392e-06,-0.037345836670403885
AVGO,GRU,3,-0.004392719953068308,6.103840010580819
AVGO,Shared-target JEPA--MAE,3,-0.007238777597017541,10.058537943787892
NVDA,GRU,3,-0.00249626974923235,4.333949657621147
NVDA,Shared-target JEPA--MAE,3,-0.00037516513444439914,0.6513506028251573
TSLA,GRU,3,-0.0021791649838766164,2.4866272039483106
TSLA,Shared-target JEPA--MAE,3,-0.010088477591501901,11.51187863748821
WMT,GRU,3,-0.001799099518970142,9.84865498010457
WMT,Shared-target JEPA--MAE,3,-0.0015443811663712916,8.4542723206713
