stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0008894797804295829,4.0030156369553
AAPL,Shared-target JEPA--MAE,3,-0.0002465104891780009,1.1093960363848405
AVGO,GRU,3,-0.00307914429298795,4.278580090397849
AVGO,Shared-target JEPA--MAE,3,-0.0027872434162954187,3.872973480070923
NVDA,GRU,3,-0.0037712728780964883,6.5475723542491515
NVDA,Shared-target JEPA--MAE,3,-0.0030689416213202556,5.328205612823057
TSLA,GRU,3,-0.0025928965668541256,2.958732903597678
TSLA,Shared-target JEPA--MAE,3,-0.006096647549941718,6.956834274934483
WMT,GRU,3,-0.002783839329527046,15.23933100279625
WMT,Shared-target JEPA--MAE,3,-0.0013876336602582733,7.596202997423059
