stock,seed,model,strategy,test_signature,model_rmse,naive_rmse,delta_rmse,relative_rmse_improvement_pct,model_source_file,naive_source_file
NVDA,42,Shared-target JEPA--MAE,random,8073671c866d3821ba9c,0.056956490603643106,0.05759803288999259,-0.0006415422863494807,1.1138267301155453,results/04_shared_joint_loss_jepa_1_mae_1/random/NVDA/seed_42/last_model_comparison_20260903_000604.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/NVDA/seed_42/last_model_comparison_20260903_000604.csv
NVDA,44,Shared-target JEPA--MAE,random,8073671c866d3821ba9c,0.059166239243365774,0.05759803288999259,0.0015682063533731874,-2.722673457213947,results/04_shared_joint_loss_jepa_1_mae_1/random/NVDA/seed_44/last_model_comparison_20260903_000605.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/NVDA/seed_44/last_model_comparison_20260903_000605.csv
NVDA,46,Shared-target JEPA--MAE,random,8073671c866d3821ba9c,0.06053268460329584,0.05759803288999259,0.002934651713303253,-5.095055449043185,results/04_shared_joint_loss_jepa_1_mae_1/random/NVDA/seed_46/last_model_comparison_20260903_001033.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/NVDA/seed_46/last_model_comparison_20260903_001033.csv
AAPL,42,Shared-target JEPA--MAE,random,61bea53c7b280fafa922,0.023468750939143485,0.02222024246465654,0.0012485084744869451,-5.618788707966709,results/04_shared_joint_loss_jepa_1_mae_1/random/AAPL/seed_42/last_model_comparison_20260903_001032.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/AAPL/seed_42/last_model_comparison_20260903_001032.csv
AAPL,44,Shared-target JEPA--MAE,random,61bea53c7b280fafa922,0.022303620914559997,0.02222024246465654,8.337844990345677e-05,-0.3752364540399517,results/04_shared_joint_loss_jepa_1_mae_1/random/AAPL/seed_44/last_model_comparison_20260903_001459.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/AAPL/seed_44/last_model_comparison_20260903_001459.csv
AAPL,46,Shared-target JEPA--MAE,random,61bea53c7b280fafa922,0.023363398561034542,0.02222024246465654,0.0011431560963780021,-5.144660766849431,results/04_shared_joint_loss_jepa_1_mae_1/random/AAPL/seed_46/last_model_comparison_20260903_001459.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/AAPL/seed_46/last_model_comparison_20260903_001459.csv
AVGO,42,Shared-target JEPA--MAE,random,bdf802cf201429cf7b4d,0.06346261881470637,0.07196649888354975,-0.00850388006884338,11.81644265146712,results/04_shared_joint_loss_jepa_1_mae_1/random/AVGO/seed_42/last_model_comparison_20260903_001926.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/AVGO/seed_42/last_model_comparison_20260903_001926.csv
AVGO,44,Shared-target JEPA--MAE,random,bdf802cf201429cf7b4d,0.06301845499327402,0.07196649888354975,-0.008948043890275731,12.43362401824593,results/04_shared_joint_loss_jepa_1_mae_1/random/AVGO/seed_44/last_model_comparison_20260903_001926.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/AVGO/seed_44/last_model_comparison_20260903_001926.csv
AVGO,46,Shared-target JEPA--MAE,random,bdf802cf201429cf7b4d,0.06391170980474828,0.07196649888354975,-0.008054789078801472,11.192414809333808,results/04_shared_joint_loss_jepa_1_mae_1/random/AVGO/seed_46/last_model_comparison_20260903_002354.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/AVGO/seed_46/last_model_comparison_20260903_002354.csv
TSLA,42,Shared-target JEPA--MAE,random,a325dc22f8db74386b7a,0.08597628999377842,0.08763537133417103,-0.0016590813403926097,1.89316404453426,results/04_shared_joint_loss_jepa_1_mae_1/random/TSLA/seed_42/last_model_comparison_20260903_002355.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/TSLA/seed_42/last_model_comparison_20260903_002355.csv
TSLA,44,Shared-target JEPA--MAE,random,a325dc22f8db74386b7a,0.08119814033722147,0.08763537133417103,-0.006437230996949553,7.345471239464617,results/04_shared_joint_loss_jepa_1_mae_1/random/TSLA/seed_44/last_model_comparison_20260903_002823.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/TSLA/seed_44/last_model_comparison_20260903_002823.csv
TSLA,46,Shared-target JEPA--MAE,random,a325dc22f8db74386b7a,0.08434392679906848,0.08763537133417103,-0.00329144453510255,3.7558402332222913,results/04_shared_joint_loss_jepa_1_mae_1/random/TSLA/seed_46/last_model_comparison_20260903_002823.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/TSLA/seed_46/last_model_comparison_20260903_002823.csv
WMT,42,Shared-target JEPA--MAE,random,5401cfe155cf87d2f227,0.01791939501138958,0.018267464162411342,-0.00034806915102176053,1.905404865870637,results/04_shared_joint_loss_jepa_1_mae_1/random/WMT/seed_42/last_model_comparison_20260903_003246.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/WMT/seed_42/last_model_comparison_20260903_003246.csv
WMT,44,Shared-target JEPA--MAE,random,5401cfe155cf87d2f227,0.017313232290159804,0.018267464162411342,-0.0009542318722515382,5.223669053174032,results/04_shared_joint_loss_jepa_1_mae_1/random/WMT/seed_44/last_model_comparison_20260903_003247.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/WMT/seed_44/last_model_comparison_20260903_003247.csv
WMT,46,Shared-target JEPA--MAE,random,5401cfe155cf87d2f227,0.015755215137300833,0.018267464162411342,-0.0025122490251105085,13.752587675961733,results/04_shared_joint_loss_jepa_1_mae_1/random/WMT/seed_46/last_model_comparison_20260903_003644.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/WMT/seed_46/last_model_comparison_20260903_003644.csv
NVDA,42,GRU,random,8073671c866d3821ba9c,0.05576273985926188,0.05759803288999259,-0.0018352930307307044,3.186381441595341,results/04_shared_joint_loss_jepa_1_mae_1/random/NVDA/seed_42/last_model_comparison_20260903_000604.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/NVDA/seed_42/last_model_comparison_20260903_000604.csv
NVDA,44,GRU,random,8073671c866d3821ba9c,0.054102034807072194,0.05759803288999259,-0.003495998082920393,6.069648402051258,results/04_shared_joint_loss_jepa_1_mae_1/random/NVDA/seed_44/last_model_comparison_20260903_000605.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/NVDA/seed_44/last_model_comparison_20260903_000605.csv
NVDA,46,GRU,random,8073671c866d3821ba9c,0.055774639347037004,0.05759803288999259,-0.0018233935429555828,3.1657219031040724,results/04_shared_joint_loss_jepa_1_mae_1/random/NVDA/seed_46/last_model_comparison_20260903_001033.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/NVDA/seed_46/last_model_comparison_20260903_001033.csv
AAPL,42,GRU,random,61bea53c7b280fafa922,0.021592668545649722,0.02222024246465654,-0.0006275739190068179,2.8243342529004143,results/04_shared_joint_loss_jepa_1_mae_1/random/AAPL/seed_42/last_model_comparison_20260903_001032.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/AAPL/seed_42/last_model_comparison_20260903_001032.csv
AAPL,44,GRU,random,61bea53c7b280fafa922,0.02160624858217719,0.02222024246465654,-0.0006139938824793502,2.7632186437927815,results/04_shared_joint_loss_jepa_1_mae_1/random/AAPL/seed_44/last_model_comparison_20260903_001459.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/AAPL/seed_44/last_model_comparison_20260903_001459.csv
AAPL,46,GRU,random,61bea53c7b280fafa922,0.0216567050545569,0.02222024246465654,-0.0005635374100996411,2.5361442882362883,results/04_shared_joint_loss_jepa_1_mae_1/random/AAPL/seed_46/last_model_comparison_20260903_001459.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/AAPL/seed_46/last_model_comparison_20260903_001459.csv
AVGO,42,GRU,random,bdf802cf201429cf7b4d,0.06876458977308818,0.07196649888354975,-0.0032019091104615732,4.449166153883126,results/04_shared_joint_loss_jepa_1_mae_1/random/AVGO/seed_42/last_model_comparison_20260903_001926.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/AVGO/seed_42/last_model_comparison_20260903_001926.csv
AVGO,44,GRU,random,bdf802cf201429cf7b4d,0.06876487635812462,0.07196649888354975,-0.003201622525425135,4.448767933821175,results/04_shared_joint_loss_jepa_1_mae_1/random/AVGO/seed_44/last_model_comparison_20260903_001926.csv,results/04_shared_joint_loss_jepa_1_mae_1/random/AVGO/seed_44/last_model_comparison_20260903_001926.csv
