stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0009232353964887287,4.154929443084271
AAPL,Shared-target JEPA--MAE,3,0.0009757062520435086,-4.391069330568577
AVGO,GRU,3,-0.004392719953068308,6.103840010580819
AVGO,Shared-target JEPA--MAE,3,-0.0077574079469595976,10.779193190309277
NVDA,GRU,3,-0.00249626974923235,4.333949657621147
NVDA,Shared-target JEPA--MAE,3,-0.0009161648173756758,1.5906182406011569
TSLA,GRU,3,-0.0021791649838766164,2.4866272039483106
TSLA,Shared-target JEPA--MAE,3,-0.005784748052157299,6.600928328470142
WMT,GRU,3,-0.001799099518970142,9.84865498010457
WMT,Shared-target JEPA--MAE,3,-0.0017009916704124103,9.31159166531999
