stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0008894797804295829,4.0030156369553
AAPL,Shared-target JEPA--MAE,3,-0.00012877968026014583,0.5795601936611738
AVGO,GRU,3,-0.00307914429298795,4.278580090397849
AVGO,Shared-target JEPA--MAE,3,-0.004020489221051207,5.5866122201620945
NVDA,GRU,3,-0.0037712728780964883,6.5475723542491515
NVDA,Shared-target JEPA--MAE,3,-0.003122894936184418,5.421877761257726
TSLA,GRU,3,-0.0025928965668541256,2.958732903597678
TSLA,Shared-target JEPA--MAE,3,-0.0031700111403587666,3.617273587249247
WMT,GRU,3,-0.002783839329527046,15.23933100279625
WMT,Shared-target JEPA--MAE,3,-0.001438627684844252,7.875355178221684
