stock,seed,method,strategy,split,mse,mae,direction_accuracy,forecast_horizon,checkpoint_path,checkpoint_selection,encoder_weight_source,fine_tune_encoder,trend_weight,trend_loss_temperature,trend_loss_threshold,trend_selection_weight,normalization,feature_transform,forecast_target,target_definition,metric_definition,test_start,test_end,test_signature,experiment_id,config_signature,timestamp,git_commit_sha,original_source_file,score_source_file
NVDA,42,Shared-target JEPA--MAE,random,test,0.0041268685840011995,0.05113392329382657,0.5210526315789473,5,./logs/output_model/NVDA/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_cc4d971fca6b_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,65a2be9d33c30bbb95dd,126761cdd751ac9c,126761cdd751ac9c,20260827_074522,ca2a5a690ba8085f4cedfbf61edbca726c658045,results/normalization_pilot_train_zscore/random/NVDA/seed_42/last_model_comparison_20260827_074522.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_42/last_scores_after_observation_20260827_074522.csv
NVDA,42,GRU,random,test,0.004246746202312248,0.0502757460173023,0.531578947368421,5,./logs/output_model/NVDA/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_cc4d971fca6b_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,65a2be9d33c30bbb95dd,126761cdd751ac9c,126761cdd751ac9c,20260827_074522,ca2a5a690ba8085f4cedfbf61edbca726c658045,results/normalization_pilot_train_zscore/random/NVDA/seed_42/last_model_comparison_20260827_074522.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_42/last_gru_scores_after_observation_20260827_074522.csv
NVDA,42,Naive-last,random,test,0.0020790753562398285,0.033849857982836226,0.0,5,./logs/output_model/NVDA/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_cc4d971fca6b_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,65a2be9d33c30bbb95dd,126761cdd751ac9c,126761cdd751ac9c,20260827_074522,ca2a5a690ba8085f4cedfbf61edbca726c658045,results/normalization_pilot_train_zscore/random/NVDA/seed_42/last_model_comparison_20260827_074522.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_42/last_baseline_scores_after_observation_20260827_074522.csv
NVDA,42,Drift,random,test,0.0022182012474262604,0.034110621681956124,0.5052631578947369,5,./logs/output_model/NVDA/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_cc4d971fca6b_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,65a2be9d33c30bbb95dd,126761cdd751ac9c,126761cdd751ac9c,20260827_074522,ca2a5a690ba8085f4cedfbf61edbca726c658045,results/normalization_pilot_train_zscore/random/NVDA/seed_42/last_model_comparison_20260827_074522.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_42/last_baseline_scores_after_observation_20260827_074522.csv
NVDA,42,Mean-context,random,test,0.0021837551265272512,0.03435180931172855,0.5210526315789473,5,./logs/output_model/NVDA/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_cc4d971fca6b_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,65a2be9d33c30bbb95dd,126761cdd751ac9c,126761cdd751ac9c,20260827_074522,ca2a5a690ba8085f4cedfbf61edbca726c658045,results/normalization_pilot_train_zscore/random/NVDA/seed_42/last_model_comparison_20260827_074522.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_42/last_baseline_scores_after_observation_20260827_074522.csv
NVDA,44,Shared-target JEPA--MAE,random,test,0.005589580404736335,0.05831461478956038,0.4789473684210526,5,./logs/output_model/NVDA/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_21bfe36596db_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,65a2be9d33c30bbb95dd,126761cdd751ac9c,126761cdd751ac9c,20260827_074537,ca2a5a690ba8085f4cedfbf61edbca726c658045,results/normalization_pilot_train_zscore/random/NVDA/seed_44/last_model_comparison_20260827_074537.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_44/last_scores_after_observation_20260827_074537.csv
NVDA,44,GRU,random,test,0.0023232852763368297,0.036736839509716124,0.5526315789473685,5,./logs/output_model/NVDA/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_21bfe36596db_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,65a2be9d33c30bbb95dd,126761cdd751ac9c,126761cdd751ac9c,20260827_074537,ca2a5a690ba8085f4cedfbf61edbca726c658045,results/normalization_pilot_train_zscore/random/NVDA/seed_44/last_model_comparison_20260827_074537.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_44/last_gru_scores_after_observation_20260827_074537.csv
NVDA,44,Naive-last,random,test,0.0020790753562398285,0.033849857982836226,0.0,5,./logs/output_model/NVDA/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_21bfe36596db_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,65a2be9d33c30bbb95dd,126761cdd751ac9c,126761cdd751ac9c,20260827_074537,ca2a5a690ba8085f4cedfbf61edbca726c658045,results/normalization_pilot_train_zscore/random/NVDA/seed_44/last_model_comparison_20260827_074537.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_44/last_baseline_scores_after_observation_20260827_074537.csv
NVDA,44,Drift,random,test,0.0022182012474262604,0.034110621681956124,0.5052631578947369,5,./logs/output_model/NVDA/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_21bfe36596db_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,65a2be9d33c30bbb95dd,126761cdd751ac9c,126761cdd751ac9c,20260827_074537,ca2a5a690ba8085f4cedfbf61edbca726c658045,results/normalization_pilot_train_zscore/random/NVDA/seed_44/last_model_comparison_20260827_074537.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_44/last_baseline_scores_after_observation_20260827_074537.csv
NVDA,44,Mean-context,random,test,0.0021837551265272512,0.03435180931172855,0.5210526315789473,5,./logs/output_model/NVDA/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_21bfe36596db_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,65a2be9d33c30bbb95dd,126761cdd751ac9c,126761cdd751ac9c,20260827_074537,ca2a5a690ba8085f4cedfbf61edbca726c658045,results/normalization_pilot_train_zscore/random/NVDA/seed_44/last_model_comparison_20260827_074537.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_44/last_baseline_scores_after_observation_20260827_074537.csv
