method,horizon,mse,mse_ci_low,mse_ci_high,mae,mae_ci_low,mae_ci_high,direction_accuracy,direction_ci_low,direction_ci_high,n_stocks,n_runs
Drift,1,0.07365183367942388,0.006443136328611374,0.1976510853286512,0.07910360216414307,0.04803155453471266,0.12814024837877552,0.4842105263157895,0.43684210526315786,0.5315789473684212,5,25
Drift,2,0.2905295575550813,0.0262562568099226,0.7776311504529281,0.1556762010526941,0.09788651766721154,0.24912689331992474,0.4947368421052631,0.42105263157894735,0.5684210526315789,5,25
Drift,3,0.6549394835212112,0.05813869348860181,1.7556762738445528,0.22917627649577824,0.14132193475471513,0.3732965080018499,0.5842105263157895,0.5,0.6684210526315789,5,25
Drift,4,1.1594680161202815,0.10334400438521515,3.110229553842378,0.30384925874072666,0.18816226509791845,0.4926781079854424,0.5105263157894736,0.43157894736842095,0.5842105263157894,5,25
Drift,5,1.8189047769801285,0.15963276692223421,4.888616711652556,0.37627502512186767,0.2328780341109163,0.6117591074128684,0.5631578947368421,0.5315789473684209,0.5947368421052631,5,25
GRU,1,0.0007891934393825248,0.0003322475545985289,0.0015278526368640085,0.01912480512535881,0.012719293983015911,0.027247553446550665,0.4905263157894737,0.4378947368421053,0.5421052631578949,5,25
GRU,2,0.0016862629202623164,0.0008156529731222252,0.002556872867402408,0.028184530275236576,0.019603690975590705,0.036765369574882446,0.5378947368421052,0.49684210526315786,0.5684210526315789,5,25
GRU,3,0.0024431663657224234,0.0011271588977905722,0.004041175116051811,0.035877461295182725,0.025238869248056055,0.046576344115463485,0.4926315789473684,0.45894736842105266,0.5189473684210527,5,25
GRU,4,0.0035691975528036185,0.0017921768460177254,0.005493113775023459,0.0429881058277954,0.03053411405754124,0.05544209759804956,0.4663157894736842,0.44210526315789467,0.49368421052631584,5,25
GRU,5,0.004183606390432137,0.0023619075483361364,0.006318976803561291,0.04549911208646858,0.03437657080394652,0.05608671695386105,0.4894736842105263,0.43473684210526314,0.5315789473684209,5,25
Mean-context,1,9731385.40175796,4.227428583119628,23589744.00618097,766.7036049437759,1.6317582918625129,1702.2315695320697,0.48421052631578937,0.41578947368421054,0.5684210526315789,5,25
Mean-context,2,1768781042402934.0,74.60270623002143,4808813794609320.0,9731050.86907783,4.432939708703442,23587529.85602092,0.5263157894736842,0.45789473684210524,0.5894736842105264,5,25
Mean-context,3,3.55562166530959e+23,1890.3717802606989,1.0225280098005256e+24,129026138902.30826,18.95642494010298,334267837735.89874,0.4789473684210527,0.38947368421052636,0.5631578947368421,5,25
Mean-context,4,7.512391125328654e+31,50717.74777698094,2.2145242256405672e+32,1768781060911293.0,83.77781604748023,4808813843391251.0,0.4999999999999999,0.4526315789473684,0.5578947368421052,5,25
Mean-context,5,1.6225751958462438e+40,1436580.8062622137,4.832939525643576e+40,2.485804498525916e+19,391.7409440726042,6.988690290541001e+19,0.5,0.46842105263157896,0.531578947368421,5,25
Naive-last,1,0.0005062026441712998,0.00020145088789790935,0.0009303099375435129,0.01532295063922275,0.010007570605528933,0.021225568495298643,0.0,0.0,0.0,5,25
Naive-last,2,0.001466464380937143,0.0007766925035515935,0.002156236258322693,0.025002641113180825,0.018462116467325266,0.03154316575903638,0.005263157894736842,0.0,0.015789473684210527,5,25
Naive-last,3,0.0017699623500367456,0.0009665993869778728,0.002573325313095619,0.030737767407768613,0.022485549512662344,0.03898998530287488,0.0,0.0,0.0,5,25
Naive-last,4,0.002908330003495691,0.0016841582992505612,0.004132501707740821,0.038800095257006145,0.029363913285104803,0.04819520523673605,0.0,0.0,0.0,5,25
Naive-last,5,0.0035135798835590195,0.0022021433278036247,0.004915442058190244,0.04148212577167307,0.0319788929663206,0.050687831953952156,0.0,0.0,0.0,5,25
Shared-target JEPA--MAE,1,0.0015445909779999646,0.0009256512299303853,0.002183388846672597,0.028430910178117014,0.022466493911894092,0.03459242178470284,0.5421052631578948,0.4989473684210527,0.5852631578947369,5,25
Shared-target JEPA--MAE,2,0.002288533615999233,0.0014125272829340315,0.003140236100648516,0.034274658008944206,0.0272708965474004,0.041278419470488006,0.5063157894736843,0.45894736842105266,0.5536842105263158,5,25
Shared-target JEPA--MAE,3,0.0032672014395381194,0.0023283901329706987,0.004412409335949397,0.04174852227951444,0.03390857970574866,0.04958846485328023,0.4957894736842105,0.48,0.5136842105263157,5,25
Shared-target JEPA--MAE,4,0.004380756597166206,0.002576433380394728,0.006328485740408561,0.04861287881840801,0.03677425455596098,0.06045150308085503,0.46315789473684205,0.43578947368421056,0.49684210526315786,5,25
Shared-target JEPA--MAE,5,0.005279251696558616,0.003444680933289192,0.007293342509753331,0.0541130234792485,0.04368915988696048,0.06525765587379662,0.4852631578947369,0.4642105263157895,0.5094736842105264,5,25
