stock,seed,model,strategy,test_signature,model_mse,naive_mse,delta_mse,relative_mse_improvement_pct,model_mae,naive_mae,delta_mae,relative_mae_improvement_pct,model_source_file,naive_source_file
NVDA,42,Shared-target JEPA--MAE,random,65a2be9d33c30bbb95dd,0.003401678952272131,0.0020790753562398285,0.0013226035960323024,-63.61499077283736,0.043093917937949255,0.033849857982836226,0.00924405995511303,-27.309006613263442,results/normalization_pilot_train_zscore/random/NVDA/seed_42/last_model_comparison_20260828_085118.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_42/last_model_comparison_20260828_085118.csv
NVDA,44,Shared-target JEPA--MAE,random,65a2be9d33c30bbb95dd,0.0037582628560327395,0.0020790753562398285,0.001679187499792911,-80.76607203068646,0.045511261820425475,0.033849857982836226,0.011661403837589249,-34.450377438812986,results/normalization_pilot_train_zscore/random/NVDA/seed_44/last_model_comparison_20260828_085218.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_44/last_model_comparison_20260828_085218.csv
NVDA,46,Shared-target JEPA--MAE,random,65a2be9d33c30bbb95dd,0.002863748142261617,0.0020790753562398285,0.0007846727860217886,-37.741430759918735,0.03880975169717869,0.033849857982836226,0.004959893714342467,-14.652627839258324,results/normalization_pilot_train_zscore/random/NVDA/seed_46/last_model_comparison_20260828_085317.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_46/last_model_comparison_20260828_085317.csv
NVDA,48,Shared-target JEPA--MAE,random,65a2be9d33c30bbb95dd,0.0025998916878152596,0.0020790753562398285,0.0005208163315754311,-25.050382614190973,0.03644257511906812,0.033849857982836226,0.002592717136231895,-7.659462375134773,results/normalization_pilot_train_zscore/random/NVDA/seed_48/last_model_comparison_20260828_085418.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_48/last_model_comparison_20260828_085418.csv
NVDA,50,Shared-target JEPA--MAE,random,65a2be9d33c30bbb95dd,0.002544761830237035,0.0020790753562398285,0.0004656864739972064,-22.3987299257607,0.03667497248327552,0.033849857982836226,0.002825114500439291,-8.346015814517692,results/normalization_pilot_train_zscore/random/NVDA/seed_50/last_model_comparison_20260828_085517.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_50/last_model_comparison_20260828_085517.csv
AAPL,42,Shared-target JEPA--MAE,random,0d46cbde6d60987bd23b,0.00282411044344057,0.0011798756895860015,0.0016442347538545687,-139.3566092061362,0.03452966893581964,0.021244387563906172,0.013285281371913465,-62.53548769974859,results/normalization_pilot_train_zscore/random/AAPL/seed_42/last_model_comparison_20260828_085617.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_42/last_model_comparison_20260828_085617.csv
AAPL,44,Shared-target JEPA--MAE,random,0d46cbde6d60987bd23b,0.003161557091116659,0.0011798756895860015,0.0019816814015306576,-167.9567957049777,0.03717223817335535,0.021244387563906172,0.015927850609449175,-74.97439293806852,results/normalization_pilot_train_zscore/random/AAPL/seed_44/last_model_comparison_20260828_085718.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_44/last_model_comparison_20260828_085718.csv
AAPL,46,Shared-target JEPA--MAE,random,0d46cbde6d60987bd23b,0.0024460442997863083,0.0011798756895860015,0.0012661686102003068,-107.31372985950613,0.033211371564845465,0.021244387563906172,0.011966984000939294,-56.330096431073315,results/normalization_pilot_train_zscore/random/AAPL/seed_46/last_model_comparison_20260828_085817.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_46/last_model_comparison_20260828_085817.csv
AAPL,48,Shared-target JEPA--MAE,random,0d46cbde6d60987bd23b,0.002164496733646581,0.0011798756895860015,0.0009846210440605796,-83.4512527676595,0.03256230268161739,0.021244387563906172,0.011317915117711217,-53.274847691727054,results/normalization_pilot_train_zscore/random/AAPL/seed_48/last_model_comparison_20260828_085918.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_48/last_model_comparison_20260828_085918.csv
AAPL,50,Shared-target JEPA--MAE,random,0d46cbde6d60987bd23b,0.0020016735864146723,0.0011798756895860015,0.0008217978968286708,-69.65122716589116,0.030471314553563486,0.021244387563906172,0.009226926989657314,-43.43230399982768,results/normalization_pilot_train_zscore/random/AAPL/seed_50/last_model_comparison_20260828_090016.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_50/last_model_comparison_20260828_090016.csv
AVGO,42,Shared-target JEPA--MAE,random,d038c2ee55b1b38dfdd6,0.003918750509142836,0.002836211787960418,0.0010825387211824177,-38.16847267110806,0.047722230512207614,0.03605036139488216,0.011671869117325456,-32.376566186053374,results/normalization_pilot_train_zscore/random/AVGO/seed_42/last_model_comparison_20260828_090116.csv,results/normalization_pilot_train_zscore/random/AVGO/seed_42/last_model_comparison_20260828_090116.csv
AVGO,44,Shared-target JEPA--MAE,random,d038c2ee55b1b38dfdd6,0.009555711722899672,0.002836211787960418,0.006719499934939254,-236.918130143285,0.07326050418134972,0.03605036139488216,0.03721014278646756,-103.21711446629227,results/normalization_pilot_train_zscore/random/AVGO/seed_44/last_model_comparison_20260828_090215.csv,results/normalization_pilot_train_zscore/random/AVGO/seed_44/last_model_comparison_20260828_090215.csv
AVGO,46,Shared-target JEPA--MAE,random,d038c2ee55b1b38dfdd6,0.005191348558479463,0.002836211787960418,0.002355136770519045,-83.03811374441382,0.05146846072013046,0.03605036139488216,0.015418099325248305,-42.76822403072252,results/normalization_pilot_train_zscore/random/AVGO/seed_46/last_model_comparison_20260828_090315.csv,results/normalization_pilot_train_zscore/random/AVGO/seed_46/last_model_comparison_20260828_090315.csv
AVGO,48,Shared-target JEPA--MAE,random,d038c2ee55b1b38dfdd6,0.004633295096080739,0.002836211787960418,0.0017970833081203206,-63.3620985481004,0.051610738287777846,0.03605036139488216,0.015560376892895689,-43.16288739092834,results/normalization_pilot_train_zscore/random/AVGO/seed_48/last_model_comparison_20260828_090414.csv,results/normalization_pilot_train_zscore/random/AVGO/seed_48/last_model_comparison_20260828_090414.csv
AVGO,50,Shared-target JEPA--MAE,random,d038c2ee55b1b38dfdd6,0.004574672061395845,0.002836211787960418,0.001738460273435427,-61.29515013001168,0.04990666827530056,0.03605036139488216,0.013856306880418404,-38.43597219079611,results/normalization_pilot_train_zscore/random/AVGO/seed_50/last_model_comparison_20260828_090513.csv,results/normalization_pilot_train_zscore/random/AVGO/seed_50/last_model_comparison_20260828_090513.csv
TSLA,42,Shared-target JEPA--MAE,random,99dbf83de3be900a15ad,0.004622420008063653,0.0033480806127087486,0.0012743393953549048,-38.06178950762797,0.051662193617391314,0.041366781372772984,0.01029541224461833,-24.888115301604344,results/normalization_pilot_train_zscore/random/TSLA/seed_42/last_model_comparison_20260828_090611.csv,results/normalization_pilot_train_zscore/random/TSLA/seed_42/last_model_comparison_20260828_090611.csv
TSLA,44,Shared-target JEPA--MAE,random,99dbf83de3be900a15ad,0.004094572327633945,0.0033480806127087486,0.000746491714925196,-22.296109361633636,0.0490139945679785,0.041366781372772984,0.007647213195205518,-18.486362587152605,results/normalization_pilot_train_zscore/random/TSLA/seed_44/last_model_comparison_20260828_090712.csv,results/normalization_pilot_train_zscore/random/TSLA/seed_44/last_model_comparison_20260828_090712.csv
TSLA,46,Shared-target JEPA--MAE,random,99dbf83de3be900a15ad,0.00398102336388198,0.0033480806127087486,0.0006329427511732317,-18.90464491119742,0.04953024836110045,0.041366781372772984,0.008163466988327463,-19.734353791664677,results/normalization_pilot_train_zscore/random/TSLA/seed_46/last_model_comparison_20260828_090812.csv,results/normalization_pilot_train_zscore/random/TSLA/seed_46/last_model_comparison_20260828_090812.csv
TSLA,48,Shared-target JEPA--MAE,random,99dbf83de3be900a15ad,0.003838630442169171,0.0033480806127087486,0.0004905498294604225,-14.651673188464406,0.04873199657733107,0.041366781372772984,0.007365215204558087,-17.804661035112016,results/normalization_pilot_train_zscore/random/TSLA/seed_48/last_model_comparison_20260828_090912.csv,results/normalization_pilot_train_zscore/random/TSLA/seed_48/last_model_comparison_20260828_090912.csv
TSLA,50,Shared-target JEPA--MAE,random,99dbf83de3be900a15ad,0.004312139125301532,0.0033480806127087486,0.0009640585125927832,-28.794363819478537,0.05059556642939382,0.041366781372772984,0.009228785056620836,-22.309652214554667,results/normalization_pilot_train_zscore/random/TSLA/seed_50/last_model_comparison_20260828_091011.csv,results/normalization_pilot_train_zscore/random/TSLA/seed_50/last_model_comparison_20260828_091011.csv
WMT,42,Shared-target JEPA--MAE,random,7e2990039d7e3566d196,0.001300280282002916,0.0007212958157049027,0.0005789844662980134,-80.27004367579586,0.027374165625262372,0.018834191874453853,0.008539973750808519,-45.34292635295857,results/normalization_pilot_train_zscore/random/WMT/seed_42/last_model_comparison_20260828_091107.csv,results/normalization_pilot_train_zscore/random/WMT/seed_42/last_model_comparison_20260828_091107.csv
WMT,44,Shared-target JEPA--MAE,random,7e2990039d7e3566d196,0.001583450787697778,0.0007212958157049027,0.0008621549719928754,-119.5286251799915,0.029258426681994177,0.018834191874453853,0.010424234807540324,-55.34739625159841,results/normalization_pilot_train_zscore/random/WMT/seed_44/last_model_comparison_20260828_091208.csv,results/normalization_pilot_train_zscore/random/WMT/seed_44/last_model_comparison_20260828_091208.csv
WMT,46,Shared-target JEPA--MAE,random,7e2990039d7e3566d196,0.0012744228167814646,0.0007212958157049027,0.000553127001076562,-76.68518089710615,0.02638791644896718,0.018834191874453853,0.007553724574513327,-40.10644377452148,results/normalization_pilot_train_zscore/random/WMT/seed_46/last_model_comparison_20260828_091308.csv,results/normalization_pilot_train_zscore/random/WMT/seed_46/last_model_comparison_20260828_091308.csv
WMT,48,Shared-target JEPA--MAE,random,7e2990039d7e3566d196,0.0014627904454474878,0.0007212958157049027,0.0007414946297425851,-102.80035092369732,0.028882708236280977,0.018834191874453853,0.010048516361827124,-53.35252199196631,results/normalization_pilot_train_zscore/random/WMT/seed_48/last_model_comparison_20260828_091407.csv,results/normalization_pilot_train_zscore/random/WMT/seed_48/last_model_comparison_20260828_091407.csv
WMT,50,Shared-target JEPA--MAE,random,7e2990039d7e3566d196,0.0016919384663086354,0.0007212958157049027,0.0009706426506037327,-134.56928897544626,0.03201477033159643,0.018834191874453853,0.013180578457142576,-69.98218211326777,results/normalization_pilot_train_zscore/random/WMT/seed_50/last_model_comparison_20260828_091506.csv,results/normalization_pilot_train_zscore/random/WMT/seed_50/last_model_comparison_20260828_091506.csv
NVDA,42,GRU,random,65a2be9d33c30bbb95dd,0.0022141804811689194,0.0020790753562398285,0.0001351051249290909,-6.498327466756142,0.03493993472013815,0.033849857982836226,0.0010900767373019232,-3.2203288352189046,results/normalization_pilot_train_zscore/random/NVDA/seed_42/last_model_comparison_20260828_085118.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_42/last_model_comparison_20260828_085118.csv
NVDA,44,GRU,random,65a2be9d33c30bbb95dd,0.0021701807447695016,0.0020790753562398285,9.110538852967302e-05,-4.382014738246155,0.03462581388456252,0.033849857982836226,0.0007759559017262926,-2.2923461070937012,results/normalization_pilot_train_zscore/random/NVDA/seed_44/last_model_comparison_20260828_085218.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_44/last_model_comparison_20260828_085218.csv
NVDA,46,GRU,random,65a2be9d33c30bbb95dd,0.0023574112985744865,0.0020790753562398285,0.000278335942334658,-13.387486966227643,0.035900569415504166,0.033849857982836226,0.00205071143266794,-6.058257123878527,results/normalization_pilot_train_zscore/random/NVDA/seed_46/last_model_comparison_20260828_085317.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_46/last_model_comparison_20260828_085317.csv
NVDA,48,GRU,random,65a2be9d33c30bbb95dd,0.0026609338873071742,0.0020790753562398285,0.0005818585310673457,-27.986408925537102,0.03825643593813043,0.033849857982836226,0.004406577955294207,-13.018010171648543,results/normalization_pilot_train_zscore/random/NVDA/seed_48/last_model_comparison_20260828_085418.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_48/last_model_comparison_20260828_085418.csv
NVDA,50,GRU,random,65a2be9d33c30bbb95dd,0.002663736096318367,0.0020790753562398285,0.0005846607400785383,-28.121190428419258,0.03809531368192673,0.033849857982836226,0.004245455699090503,-12.542019234595273,results/normalization_pilot_train_zscore/random/NVDA/seed_50/last_model_comparison_20260828_085517.csv,results/normalization_pilot_train_zscore/random/NVDA/seed_50/last_model_comparison_20260828_085517.csv
AAPL,42,GRU,random,0d46cbde6d60987bd23b,0.0012982212367308493,0.0011798756895860015,0.00011834554714484783,-10.030340330715118,0.023159914007900524,0.021244387563906172,0.0019155264439943524,-9.016623511655366,results/normalization_pilot_train_zscore/random/AAPL/seed_42/last_model_comparison_20260828_085617.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_42/last_model_comparison_20260828_085617.csv
AAPL,44,GRU,random,0d46cbde6d60987bd23b,0.0012563767135812434,0.0011798756895860015,7.650102399524186e-05,-6.483820683014901,0.023360357958039125,0.021244387563906172,0.0021159703941329537,-9.96013835544946,results/normalization_pilot_train_zscore/random/AAPL/seed_44/last_model_comparison_20260828_085718.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_44/last_model_comparison_20260828_085718.csv
AAPL,46,GRU,random,0d46cbde6d60987bd23b,0.0011607656686229944,0.0011798756895860015,-1.9110020963007072e-05,1.61966392999524,0.0221537552822969,0.021244387563906172,0.0009093677183907266,-4.280508043148892,results/normalization_pilot_train_zscore/random/AAPL/seed_46/last_model_comparison_20260828_085817.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_46/last_model_comparison_20260828_085817.csv
AAPL,48,GRU,random,0d46cbde6d60987bd23b,0.0012467574553385228,0.0011798756895860015,6.688176575252126e-05,-5.668543418840077,0.02328512466475853,0.021244387563906172,0.0020407371008523585,-9.606005796653482,results/normalization_pilot_train_zscore/random/AAPL/seed_48/last_model_comparison_20260828_085918.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_48/last_model_comparison_20260828_085918.csv
