stock,seed,method,strategy,split,mse,mae,direction_accuracy,forecast_horizon,checkpoint_path,checkpoint_selection,encoder_weight_source,fine_tune_encoder,trend_weight,trend_loss_temperature,trend_loss_threshold,trend_selection_weight,normalization,feature_transform,forecast_target,target_definition,metric_definition,test_start,test_end,test_signature,experiment_id,config_signature,timestamp,git_commit_sha,original_source_file,score_source_file,raw_model,selected_bundle,included_in_canonical,exclusion_reason,metadata_sources
AAPL,42,Naive-last,random,test,0.0011798756895860015,0.021244387563906172,0.0,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_5b2f5ef0f8c3_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_robust_zscore,return,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,0fff2a03c25fc329,0fff2a03c25fc329,20260828_085617,61fdd15a28add76845ee8db84408d34295037179,results/normalization_pilot_train_zscore/random/AAPL/seed_42/last_model_comparison_20260828_085617.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_42/last_baseline_scores_after_observation_20260828_085617.csv,naive_last,True,True,,config/experiments/normalization_pilot_train_zscore.json;results/normalization_pilot_train_zscore/random/AAPL/seed_42/preprocessing_config.json
AAPL,42,GRU,random,test,0.0012982212367308493,0.023159914007900524,0.4473684210526316,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_5b2f5ef0f8c3_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_robust_zscore,return,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,0fff2a03c25fc329,0fff2a03c25fc329,20260828_085617,61fdd15a28add76845ee8db84408d34295037179,results/normalization_pilot_train_zscore/random/AAPL/seed_42/last_model_comparison_20260828_085617.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_42/last_gru_scores_after_observation_20260828_085617.csv,GRU,True,True,,config/experiments/normalization_pilot_train_zscore.json;results/normalization_pilot_train_zscore/random/AAPL/seed_42/preprocessing_config.json
AAPL,42,Shared-target JEPA--MAE,random,test,0.00282411044344057,0.03452966893581964,0.5263157894736842,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_5b2f5ef0f8c3_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_robust_zscore,return,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,0fff2a03c25fc329,0fff2a03c25fc329,20260828_085617,61fdd15a28add76845ee8db84408d34295037179,results/normalization_pilot_train_zscore/random/AAPL/seed_42/last_model_comparison_20260828_085617.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_42/last_scores_after_observation_20260828_085617.csv,TS-JEPA,True,True,,config/experiments/normalization_pilot_train_zscore.json;results/normalization_pilot_train_zscore/random/AAPL/seed_42/preprocessing_config.json
AAPL,42,Drift,random,test,0.05620817163830974,0.14576658086275288,0.5421052631578948,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_5b2f5ef0f8c3_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_robust_zscore,return,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,0fff2a03c25fc329,0fff2a03c25fc329,20260828_085617,61fdd15a28add76845ee8db84408d34295037179,results/normalization_pilot_train_zscore/random/AAPL/seed_42/last_model_comparison_20260828_085617.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_42/last_baseline_scores_after_observation_20260828_085617.csv,drift,True,True,,config/experiments/normalization_pilot_train_zscore.json;results/normalization_pilot_train_zscore/random/AAPL/seed_42/preprocessing_config.json
AAPL,42,Mean-context,random,test,658019.0020610637,171.61629470876957,0.45789473684210524,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_5b2f5ef0f8c3_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_robust_zscore,return,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,0fff2a03c25fc329,0fff2a03c25fc329,20260828_085617,61fdd15a28add76845ee8db84408d34295037179,results/normalization_pilot_train_zscore/random/AAPL/seed_42/last_model_comparison_20260828_085617.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_42/last_baseline_scores_after_observation_20260828_085617.csv,mean_context,True,True,,config/experiments/normalization_pilot_train_zscore.json;results/normalization_pilot_train_zscore/random/AAPL/seed_42/preprocessing_config.json
AAPL,44,Naive-last,random,test,0.0011798756895860015,0.021244387563906172,0.0,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_cb288851601d_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_robust_zscore,return,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,0fff2a03c25fc329,0fff2a03c25fc329,20260828_085718,61fdd15a28add76845ee8db84408d34295037179,results/normalization_pilot_train_zscore/random/AAPL/seed_44/last_model_comparison_20260828_085718.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_44/last_baseline_scores_after_observation_20260828_085718.csv,naive_last,True,True,,config/experiments/normalization_pilot_train_zscore.json;results/normalization_pilot_train_zscore/random/AAPL/seed_44/preprocessing_config.json
AAPL,44,GRU,random,test,0.0012563767135812434,0.023360357958039125,0.4263157894736842,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_cb288851601d_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_robust_zscore,return,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,0fff2a03c25fc329,0fff2a03c25fc329,20260828_085718,61fdd15a28add76845ee8db84408d34295037179,results/normalization_pilot_train_zscore/random/AAPL/seed_44/last_model_comparison_20260828_085718.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_44/last_gru_scores_after_observation_20260828_085718.csv,GRU,True,True,,config/experiments/normalization_pilot_train_zscore.json;results/normalization_pilot_train_zscore/random/AAPL/seed_44/preprocessing_config.json
AAPL,44,Shared-target JEPA--MAE,random,test,0.003161557091116659,0.03717223817335535,0.5052631578947369,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_cb288851601d_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_robust_zscore,return,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,0fff2a03c25fc329,0fff2a03c25fc329,20260828_085718,61fdd15a28add76845ee8db84408d34295037179,results/normalization_pilot_train_zscore/random/AAPL/seed_44/last_model_comparison_20260828_085718.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_44/last_scores_after_observation_20260828_085718.csv,TS-JEPA,True,True,,config/experiments/normalization_pilot_train_zscore.json;results/normalization_pilot_train_zscore/random/AAPL/seed_44/preprocessing_config.json
AAPL,44,Drift,random,test,0.05620817163830974,0.14576658086275288,0.5421052631578948,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_cb288851601d_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_robust_zscore,return,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,0fff2a03c25fc329,0fff2a03c25fc329,20260828_085718,61fdd15a28add76845ee8db84408d34295037179,results/normalization_pilot_train_zscore/random/AAPL/seed_44/last_model_comparison_20260828_085718.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_44/last_baseline_scores_after_observation_20260828_085718.csv,drift,True,True,,config/experiments/normalization_pilot_train_zscore.json;results/normalization_pilot_train_zscore/random/AAPL/seed_44/preprocessing_config.json
AAPL,44,Mean-context,random,test,658019.0020610637,171.61629470876957,0.45789473684210524,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_cb288851601d_epoch_500.pt,fixed_pretraining_epoch_500,ema,True,0.001,0.01,1e-05,0.0005,train_robust_zscore,return,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,0fff2a03c25fc329,0fff2a03c25fc329,20260828_085718,61fdd15a28add76845ee8db84408d34295037179,results/normalization_pilot_train_zscore/random/AAPL/seed_44/last_model_comparison_20260828_085718.csv,results/normalization_pilot_train_zscore/random/AAPL/seed_44/last_baseline_scores_after_observation_20260828_085718.csv,mean_context,True,True,,config/experiments/normalization_pilot_train_zscore.json;results/normalization_pilot_train_zscore/random/AAPL/seed_44/preprocessing_config.json
