method,horizon,mse,mse_ci_low,mse_ci_high,mae,mae_ci_low,mae_ci_high,direction_accuracy,direction_ci_low,direction_ci_high,n_stocks,n_runs
Drift,1,0.0005423645352841862,0.00020560875035863048,0.0010118591878346993,0.016031795339844532,0.010364507016282335,0.02188596834744916,0.42105263157894735,0.3631578947368421,0.4842105263157895,5,25
Drift,2,0.0016750273434128504,0.0008587944138061656,0.002491260273019535,0.02593681442692617,0.018643602205223604,0.03290761570893468,0.5473684210526316,0.5,0.6,5,25
Drift,3,0.002056558721884928,0.0010298099796256332,0.0030833074641442235,0.03194947311044651,0.023073736247706103,0.04082520997318692,0.4894736842105263,0.44210526315789467,0.5421052631578946,5,25
Drift,4,0.0032731454751515864,0.001797175044422028,0.004749115905881145,0.0398963187185903,0.029997402111200056,0.04979523532598055,0.5210526315789473,0.43157894736842106,0.6105263157894736,5,25
Drift,5,0.003959545151114671,0.0023703530578392373,0.0058016632457958675,0.04256934615251862,0.03333229248290938,0.05157809536613054,0.5421052631578946,0.4947368421052631,0.5894736842105263,5,25
GRU,1,0.000554572997456733,0.00020901705227487216,0.0009887244104026696,0.01592096409515326,0.009993915685305426,0.02195047311680877,0.5336842105263158,0.46842105263157896,0.5936842105263158,5,25
GRU,2,0.0013952245608964983,0.0007694694225145801,0.0020209796992784164,0.025026313634704155,0.018126402624735673,0.03192622464467264,0.5610526315789474,0.5063157894736843,0.6063157894736843,5,25
GRU,3,0.001875372294566757,0.0010370742711387285,0.0027134906798324545,0.031526462928342935,0.023304209094494543,0.03974871676219133,0.5,0.45052631578947366,0.5452631578947369,5,25
GRU,4,0.0030502114499336565,0.0017630926472386298,0.004314431268063045,0.03945300443931233,0.02973529509170662,0.049170713786918036,0.5094736842105264,0.45894736842105266,0.5705263157894738,5,25
GRU,5,0.0033988742543413298,0.0021565484485209655,0.0047307734274345484,0.0413881380463901,0.032024822693906295,0.04990065953841331,0.5157894736842106,0.4894736842105263,0.5484210526315789,5,25
Mean-context,1,0.000547195698274483,0.00020688065773162898,0.0010269016881908157,0.01610923255850229,0.010402316285820326,0.022338484460133673,0.42105263157894735,0.3578947368421053,0.48421052631578937,5,25
Mean-context,2,0.0016381438651866971,0.0008487909029342817,0.0024274968274391132,0.026013259482600574,0.018770750694889777,0.03304538985064835,0.536842105263158,0.4947368421052631,0.5842105263157895,5,25
Mean-context,3,0.0020281537368860058,0.0010240310729015953,0.0030322764008704163,0.03219636200335927,0.023144449457820272,0.04124827454889826,0.4999999999999999,0.4526315789473684,0.5473684210526317,5,25
Mean-context,4,0.0032442968477084818,0.0017822481234405323,0.004706345571976431,0.04040559502946527,0.030130803609560934,0.05068038644936962,0.5210526315789474,0.43684210526315786,0.605263157894737,5,25
Mean-context,5,0.0038599083436907143,0.0023394631192180356,0.0055733829626482614,0.04323252609564833,0.03374829380244539,0.05263066423327757,0.5631578947368421,0.5105263157894736,0.6210526315789473,5,25
Naive-last,1,0.0005062026441712998,0.00020145088789790935,0.0009303099375435129,0.01532295063922275,0.010007570605528933,0.021225568495298643,0.0,0.0,0.0,5,25
Naive-last,2,0.001466464380937143,0.0007766925035515935,0.002156236258322693,0.025002641113180825,0.018462116467325266,0.03154316575903638,0.005263157894736842,0.0,0.015789473684210527,5,25
Naive-last,3,0.0017699623500367456,0.0009665993869778728,0.002573325313095619,0.030737767407768613,0.022485549512662344,0.03898998530287488,0.0,0.0,0.0,5,25
Naive-last,4,0.002908330003495691,0.0016841582992505612,0.004132501707740821,0.038800095257006145,0.029363913285104803,0.04819520523673605,0.0,0.0,0.0,5,25
Naive-last,5,0.0035135798835590195,0.0022021433278036247,0.004915442058190244,0.04148212577167307,0.0319788929663206,0.050687831953952156,0.0,0.0,0.0,5,25
Shared-target JEPA--MAE,1,0.0007581651159233423,0.00034486808574941713,0.0011714621460972678,0.01951439962808136,0.013443251329743703,0.025544620758951843,0.536842105263158,0.4726315789473684,0.5947368421052632,5,25
Shared-target JEPA--MAE,2,0.0017094675380674045,0.0009001515116957964,0.002518783564439012,0.02974461606722075,0.021428327141207053,0.03806090499323446,0.5778947368421053,0.5136842105263157,0.6189473684210526,5,25
Shared-target JEPA--MAE,3,0.002554608166152069,0.0011005830289846957,0.004008633303319442,0.03697738386151426,0.02485797560430667,0.049096792118721845,0.4863157894736842,0.4442105263157895,0.5210526315789473,5,25
Shared-target JEPA--MAE,4,0.003461989208811682,0.001938287620550015,0.004985690797073349,0.04298707283800463,0.03163602539497472,0.05413745091370255,0.5157894736842106,0.4989473684210527,0.5305263157894736,5,25
Shared-target JEPA--MAE,5,0.0038775586098818765,0.002433399738240757,0.005515985508648626,0.04634409763507149,0.036201056728972766,0.05740213137389598,0.5463157894736843,0.5210526315789474,0.571578947368421,5,25
