stock,method,relative_mse_improvement_pct,relative_mae_improvement_pct,n_paired_seeds
AAPL,Drift,-8.036885217576932,-4.460525751113495,5
AAPL,GRU,-3.155181165658981,-3.1850908779597966,5
AAPL,Mean-context,-7.10689581361625,-5.277724813823922,5
AAPL,Shared-target JEPA--MAE,-18.36164543037861,-16.093640596639496,5
AVGO,Drift,-8.799395923015195,-1.7889667810255,5
AVGO,GRU,6.213782797648835,0.48411702059028683,5
AVGO,Mean-context,-7.771770063088146,-3.0871384933116546,5
AVGO,Shared-target JEPA--MAE,-24.794996232723836,-20.256486929759017,5
NVDA,Drift,-6.6917192088350275,-0.7703537913828117,5
NVDA,GRU,-11.238668110184022,-4.241893132193158,5
NVDA,Mean-context,-5.034919862800691,-1.4828756854136445,5
NVDA,Shared-target JEPA--MAE,-10.2421390409912,-7.085122089092351,5
TSLA,Drift,-24.146302942828704,-6.413317140887358,5
TSLA,GRU,-1.5877732101128241,-0.9074061908965575,5
TSLA,Mean-context,-20.799415760135833,-8.05768488775911,5
TSLA,Shared-target JEPA--MAE,-28.959997659647513,-21.32071431354539,5
WMT,Drift,-6.951881841281204,-2.8240162918047047,5
WMT,GRU,5.281492779563883,1.8268036043373066,5
WMT,Mean-context,-6.6299913513972415,-2.8782433668112244,5
WMT,Shared-target JEPA--MAE,-13.145830339984329,-12.118707765175639,5
AAPL,Naive-last,0.0,0.0,5
AVGO,Naive-last,0.0,0.0,5
NVDA,Naive-last,0.0,0.0,5
TSLA,Naive-last,0.0,0.0,5
WMT,Naive-last,0.0,0.0,5
