method,horizon,mse,mse_ci_low,mse_ci_high,mae,mae_ci_low,mae_ci_high,direction_accuracy,direction_ci_low,direction_ci_high,n_stocks,n_runs
Drift,1,0.0005882191816172509,0.0005882191816172509,0.0005882191816172509,0.020393829043505743,0.020393829043505743,0.020393829043505743,0.34210526315789475,0.34210526315789475,0.34210526315789475,1,3
Drift,2,0.0019884119018257246,0.0019884119018257246,0.0019884119018257246,0.030886841824164832,0.030886841824164832,0.030886841824164832,0.5,0.5,0.5,1,3
Drift,3,0.002171469652357656,0.002171469652357656,0.002171469652357656,0.03553446725747653,0.03553446725747653,0.03553446725747653,0.5263157894736842,0.5263157894736842,0.5263157894736842,1,3
Drift,4,0.003059406032576494,0.003059406032576494,0.003059406032576494,0.04111648388406087,0.04111648388406087,0.04111648388406087,0.631578947368421,0.631578947368421,0.631578947368421,1,3
Drift,5,0.0032834994377202984,0.0032834994377202984,0.0032834994377202984,0.04262148622671555,0.04262148622671555,0.04262148622671555,0.5263157894736842,0.5263157894736842,0.5263157894736842,1,3
GRU,1,0.0007146139622120407,0.0007146139622120407,0.0007146139622120407,0.021640543989314264,0.021640543989314264,0.021640543989314264,0.42105263157894735,0.42105263157894735,0.42105263157894735,1,3
GRU,2,0.0018188667055322064,0.0018188667055322064,0.0018188667055322064,0.03123481177496146,0.03123481177496146,0.03123481177496146,0.5789473684210527,0.5789473684210527,0.5789473684210527,1,3
GRU,3,0.0024896059304224108,0.0024896059304224108,0.0024896059304224108,0.03734351454400698,0.03734351454400698,0.03734351454400698,0.5350877192982456,0.5350877192982456,0.5350877192982456,1,3
GRU,4,0.003379966198950914,0.003379966198950914,0.003379966198950914,0.04238414817914493,0.04238414817914493,0.04238414817914493,0.6140350877192983,0.6140350877192983,0.6140350877192983,1,3
GRU,5,0.0030498457617969357,0.0030498457617969357,0.0030498457617969357,0.04267893620488933,0.04267893620488933,0.04267893620488933,0.5964912280701754,0.5964912280701754,0.5964912280701754,1,3
Mean-context,1,0.0005842360648689127,0.0005842360648689127,0.0005842360648689127,0.02042749566814892,0.02042749566814892,0.02042749566814892,0.3157894736842105,0.3157894736842105,0.3157894736842105,1,3
Mean-context,2,0.0019565029872000736,0.0019565029872000736,0.0019565029872000736,0.031110225640555888,0.031110225640555888,0.031110225640555888,0.5263157894736842,0.5263157894736842,0.5263157894736842,1,3
Mean-context,3,0.002150287902198872,0.002150287902198872,0.002150287902198872,0.035479055204440946,0.035479055204440946,0.035479055204440946,0.5526315789473685,0.5526315789473685,0.5526315789473685,1,3
Mean-context,4,0.0030203062668834155,0.0030203062668834155,0.0030203062668834155,0.04161132028246736,0.04161132028246736,0.04161132028246736,0.6578947368421053,0.6578947368421053,0.6578947368421053,1,3
Mean-context,5,0.003207442450417437,0.003207442450417437,0.003207442450417437,0.043130949686440656,0.043130949686440656,0.043130949686440656,0.5526315789473685,0.5526315789473685,0.5526315789473685,1,3
Naive-last,1,0.0005629890330297168,0.0005629890330297168,0.0005629890330297168,0.01975257616294053,0.01975257616294053,0.01975257616294053,0.0,0.0,0.0,1,3
Naive-last,2,0.0017888636450418126,0.0017888636450418126,0.0017888636450418126,0.02949917316436763,0.02949917316436763,0.02949917316436763,0.0,0.0,0.0,1,3
Naive-last,3,0.0020279128013502004,0.0020279128013502004,0.0020279128013502004,0.035402948919095456,0.035402948919095456,0.035402948919095456,0.0,0.0,0.0,1,3
Naive-last,4,0.002953157280069708,0.002953157280069708,0.002953157280069708,0.042072766705563154,0.042072766705563154,0.042072766705563154,0.0,0.0,0.0,1,3
Naive-last,5,0.003062454021707704,0.003062454021707704,0.003062454021707704,0.042521824962214384,0.042521824962214384,0.042521824962214384,0.0,0.0,0.0,1,3
Shared-target JEPA--MAE,1,0.000909955216924413,0.000909955216924413,0.000909955216924413,0.024860948123029605,0.024860948123029605,0.024860948123029605,0.5526315789473685,0.5526315789473685,0.5526315789473685,1,3
Shared-target JEPA--MAE,2,0.0016914771169850267,0.0016914771169850267,0.0016914771169850267,0.030784605079118038,0.030784605079118038,0.030784605079118038,0.6228070175438597,0.6228070175438597,0.6228070175438597,1,3
Shared-target JEPA--MAE,3,0.002174975093535005,0.002174975093535005,0.002174975093535005,0.036752133240122636,0.036752133240122636,0.036752133240122636,0.543859649122807,0.543859649122807,0.543859649122807,1,3
Shared-target JEPA--MAE,4,0.0035004053004322262,0.0035004053004322262,0.0035004053004322262,0.04607216416849961,0.04607216416849961,0.04607216416849961,0.5263157894736842,0.5263157894736842,0.5263157894736842,1,3
Shared-target JEPA--MAE,5,0.003148905989830893,0.003148905989830893,0.003148905989830893,0.04399265684677577,0.04399265684677577,0.04399265684677577,0.5526315789473685,0.5526315789473685,0.5526315789473685,1,3
