stock,seed,method,strategy,split,mse,mae,direction_accuracy,forecast_horizon,checkpoint_path,checkpoint_selection,encoder_weight_source,fine_tune_encoder,trend_weight,trend_loss_temperature,trend_loss_threshold,trend_selection_weight,normalization,feature_transform,forecast_target,target_definition,metric_definition,test_start,test_end,test_signature,experiment_id,config_signature,timestamp,git_commit_sha,original_source_file,score_source_file
AAPL,42,Shared-target JEPA--MAE,random,test,0.0013662642900383265,0.02352029985202913,0.47368421052631576,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_306c84320657_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,5ea870ff39bf9f26,5ea870ff39bf9f26,20260827_105901,61fdd15a28add76845ee8db84408d34295037179,results/top10_market_windows_return/random/AAPL/seed_42/last_model_comparison_20260827_105901.csv,results/top10_market_windows_return/random/AAPL/seed_42/last_scores_after_observation_20260827_105900.csv
AAPL,42,Local-MAE/Long-JEPA,local_long,test,0.0014867335199959968,0.025432613835130815,0.47368421052631576,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_4d0b58da2aa1_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,5ea870ff39bf9f26,5ea870ff39bf9f26,20260827_105901,61fdd15a28add76845ee8db84408d34295037179,results/top10_market_windows_return/local_long/AAPL/seed_42/last_model_comparison_20260827_105901.csv,results/top10_market_windows_return/local_long/AAPL/seed_42/last_scores_after_observation_20260827_105901.csv
AAPL,42,GRU,random,test,0.0012075407118929135,0.02157645736281805,0.5157894736842106,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_306c84320657_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,5ea870ff39bf9f26,5ea870ff39bf9f26,20260827_105901,61fdd15a28add76845ee8db84408d34295037179,results/top10_market_windows_return/random/AAPL/seed_42/last_model_comparison_20260827_105901.csv,results/top10_market_windows_return/random/AAPL/seed_42/last_gru_scores_after_observation_20260827_105901.csv
AAPL,42,Naive-last,random,test,0.0011798756895860015,0.021244387563906172,0.0,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_306c84320657_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,5ea870ff39bf9f26,5ea870ff39bf9f26,20260827_105901,61fdd15a28add76845ee8db84408d34295037179,results/top10_market_windows_return/random/AAPL/seed_42/last_model_comparison_20260827_105901.csv,results/top10_market_windows_return/random/AAPL/seed_42/last_baseline_scores_after_observation_20260827_105901.csv
AAPL,42,Drift,random,test,0.0012747009444681228,0.02219199894186056,0.5052631578947369,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_306c84320657_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,5ea870ff39bf9f26,5ea870ff39bf9f26,20260827_105901,61fdd15a28add76845ee8db84408d34295037179,results/top10_market_windows_return/random/AAPL/seed_42/last_model_comparison_20260827_105901.csv,results/top10_market_windows_return/random/AAPL/seed_42/last_baseline_scores_after_observation_20260827_105901.csv
AAPL,42,Mean-context,random,test,0.001263728225575065,0.02236560787791137,0.5052631578947369,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_306c84320657_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,5ea870ff39bf9f26,5ea870ff39bf9f26,20260827_105901,61fdd15a28add76845ee8db84408d34295037179,results/top10_market_windows_return/random/AAPL/seed_42/last_model_comparison_20260827_105901.csv,results/top10_market_windows_return/random/AAPL/seed_42/last_baseline_scores_after_observation_20260827_105901.csv
AAPL,43,Shared-target JEPA--MAE,random,test,0.0013506210379631341,0.024074460085677433,0.5157894736842106,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_644be357d20f_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,5ea870ff39bf9f26,5ea870ff39bf9f26,20260827_105953,61fdd15a28add76845ee8db84408d34295037179,results/top10_market_windows_return/random/AAPL/seed_43/last_model_comparison_20260827_105953.csv,results/top10_market_windows_return/random/AAPL/seed_43/last_scores_after_observation_20260827_105953.csv
AAPL,43,Local-MAE/Long-JEPA,local_long,test,0.001427230906492768,0.02537901676995184,0.531578947368421,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_3f1168a3613b_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,5ea870ff39bf9f26,5ea870ff39bf9f26,20260827_105953,61fdd15a28add76845ee8db84408d34295037179,results/top10_market_windows_return/local_long/AAPL/seed_43/last_model_comparison_20260827_105953.csv,results/top10_market_windows_return/local_long/AAPL/seed_43/last_scores_after_observation_20260827_105953.csv
AAPL,43,GRU,random,test,0.001211778975486023,0.021951056399235554,0.5368421052631579,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_644be357d20f_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,5ea870ff39bf9f26,5ea870ff39bf9f26,20260827_105953,61fdd15a28add76845ee8db84408d34295037179,results/top10_market_windows_return/random/AAPL/seed_43/last_model_comparison_20260827_105953.csv,results/top10_market_windows_return/random/AAPL/seed_43/last_gru_scores_after_observation_20260827_105953.csv
AAPL,43,Naive-last,random,test,0.0011798756895860015,0.021244387563906172,0.0,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_644be357d20f_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0d46cbde6d60987bd23b,5ea870ff39bf9f26,5ea870ff39bf9f26,20260827_105953,61fdd15a28add76845ee8db84408d34295037179,results/top10_market_windows_return/random/AAPL/seed_43/last_model_comparison_20260827_105953.csv,results/top10_market_windows_return/random/AAPL/seed_43/last_baseline_scores_after_observation_20260827_105953.csv
