method,horizon,mse,mse_ci_low,mse_ci_high,mae,mae_ci_low,mae_ci_high,direction_accuracy,direction_ci_low,direction_ci_high,n_stocks,n_runs
Drift,1,0.00039504999538029833,0.00021330861942538766,0.0006574036533184722,0.013692166219837026,0.010509249445797264,0.017464607444108857,0.45789473684210524,0.41052631578947374,0.5078947368421052,10,100
Drift,2,0.0012411896211034085,0.0007741350785010488,0.0017758729296459114,0.022639100957176625,0.01844008046182826,0.0272295524825085,0.5105263157894737,0.47105263157894733,0.5526315789473685,10,100
Drift,3,0.0015872612374112365,0.0010207276076936184,0.002275827169462989,0.028068800987306203,0.02284618163375442,0.03389213082959792,0.5236842105263158,0.48157894736842105,0.5684210526315788,10,100
Drift,4,0.0024868750914393803,0.0016072434547519862,0.003492802517661354,0.03475520091713785,0.02842373140299869,0.04163367667239066,0.5421052631578946,0.48421052631578937,0.5947368421052632,10,100
Drift,5,0.0028993628025333834,0.0018768655437210872,0.004101426037589833,0.03678168306582126,0.030351411432697355,0.04352174110558109,0.5552631578947369,0.5131578947368421,0.5973684210526315,10,100
GRU,1,0.0005304510702481421,0.0002932154947918866,0.0008107246843623812,0.01594994953529074,0.0119054725356299,0.02022840973306718,0.5007894736842105,0.46263157894736845,0.5389473684210527,10,100
GRU,2,0.0013447062987656632,0.0007644695863323357,0.0020371927117446573,0.02427743988038085,0.01893319182585473,0.030157512299637527,0.5063157894736843,0.4807894736842105,0.5326315789473683,10,100
GRU,3,0.0018885284717053304,0.0010719490486786382,0.002837232062862175,0.030612854937652055,0.023824435933889766,0.03802082714894595,0.49526315789473685,0.46842105263157885,0.5197368421052632,10,100
GRU,4,0.0028146627383751005,0.0016470802547388474,0.004128436923648302,0.037544795564914954,0.029299874889207832,0.04656985391851963,0.508157894736842,0.4860526315789474,0.5318421052631579,10,100
GRU,5,0.0030997395851583747,0.0018574056171679054,0.004520830082832114,0.03918213869592073,0.031392338579085514,0.047963524657350584,0.5178947368421053,0.4915789473684211,0.5447368421052632,10,100
Local-MAE/Long-JEPA,1,0.0006808308410719224,0.0004077314024567272,0.0010014693402614582,0.018554977844530474,0.014595216492758434,0.022691080259524488,0.5205263157894737,0.49315789473684213,0.5502631578947368,10,100
Local-MAE/Long-JEPA,2,0.0014334557030374032,0.0009178757383359884,0.0019945101972203335,0.02665520016310769,0.02142678090028298,0.03215071634207288,0.5494736842105262,0.5042105263157894,0.5944736842105263,10,100
Local-MAE/Long-JEPA,3,0.002053604853636154,0.001172634022543786,0.0031037978331827083,0.03278587390919897,0.025569116308257683,0.041023234192386834,0.5028947368421053,0.47605263157894734,0.531842105263158,10,100
Local-MAE/Long-JEPA,4,0.0028392683689133836,0.0018120188002657873,0.004037693927426172,0.03870052433784091,0.031243302918488033,0.04691591195948571,0.5123684210526316,0.49842105263157893,0.5273684210526317,10,100
Local-MAE/Long-JEPA,5,0.003050998379375974,0.0019706242979113317,0.004329383768421265,0.040279357034703804,0.03279138303363974,0.04851602067711749,0.556842105263158,0.5336842105263159,0.5776315789473684,10,100
Mean-context,1,0.00039767155746585624,0.00021297099380142783,0.0006668448049347746,0.013776274697398783,0.010533479955118762,0.017656804561756445,0.45,0.4052631578947368,0.49217105263157335,10,100
Mean-context,2,0.001219184609225157,0.0007681976666776941,0.0017384909180329087,0.022717460588414916,0.0184499396650105,0.027375863781139445,0.513157894736842,0.47631578947368425,0.5526315789473684,10,100
Mean-context,3,0.0015696672672117367,0.0010071370341923154,0.0022379713743259986,0.0282533027104938,0.022857490890904622,0.03422156772285802,0.531578947368421,0.49210526315789477,0.5710526315789475,10,100
Mean-context,4,0.0024658499607053998,0.0016120621182843652,0.003447598527675307,0.03508471505567856,0.02859645878845564,0.042016484119008726,0.5394736842105262,0.48421052631578954,0.5894736842105264,10,100
Mean-context,5,0.0028319845634294065,0.0018553849062639014,0.003982120345518378,0.03716321494468594,0.030650000460526256,0.04417139097924132,0.5736842105263158,0.5368421052631579,0.613157894736842,10,100
Naive-last,1,0.0003730772665626591,0.00020485972855121035,0.000614235681136337,0.013266189474808492,0.01022930170752495,0.016830633623819553,0.0,0.0,0.0,10,100
Naive-last,2,0.0010951724584490076,0.0006964645336810737,0.001538531682085123,0.021638349953450608,0.01764168309145847,0.026010820763675745,0.005263157894736842,0.0,0.013157894736842105,10,100
