stock,n_matched_seeds,matched_seeds,shared_mse,local_mse,delta_mse,shared_mae,local_mae,delta_mae
NVDA,10,42;43;44;45;46;47;48;49;50;51,0.002396468161790384,0.002350922513472208,4.554564831817619e-05,0.03667624947259591,0.03678185106671754,-0.00010560159412163067
AAPL,10,42;43;44;45;46;47;48;49;50;51,0.0013684244183736877,0.0014248595576177871,-5.64351392440994e-05,0.02432014341340518,0.02509018826353555,-0.0007700448501303699
MSFT,10,42;43;44;45;46;47;48;49;50;51,0.0010808053926942818,0.0011101898203354748,-2.9384427641192994e-05,0.02390166575720186,0.02434437547602049,-0.0004427097188186291
AMZN,10,42;43;44;45;46;47;48;49;50;51,0.0014683970015159143,0.0014718585052016103,-3.461503685695975e-06,0.028618893181280136,0.028602037566873247,1.6855614406889596e-05
GOOGL,10,42;43;44;45;46;47;48;49;50;51,0.0022784122185247626,0.001858123600005512,0.00042028861851925057,0.03508045469294298,0.03276675575746734,0.0023136989354756374
AVGO,10,42;43;44;45;46;47;48;49;50;51,0.003667331906808668,0.0037197718859777436,-5.243997916907573e-05,0.04410566896079166,0.04434462260877661,-0.0002389536479849505
META,10,42;43;44;45;46;47;48;49;50;51,0.0017904162855873044,0.002001631623707705,-0.00021121533812040066,0.030359184659594675,0.03222147577598466,-0.001862291116389983
TSLA,10,42;43;44;45;46;47;48;49;50;51,0.004701864993743752,0.0049023101892653005,-0.00020044519552154822,0.05068465326600213,0.05263728109096468,-0.0019526278249625481
COST,10,42;43;44;45;46;47;48;49;50;51,0.0004970427930661968,0.00047379801023257574,2.3244782833621016e-05,0.01712795087148578,0.016845823305070742,0.0002821275664150365
WMT,10,42;43;44;45;46;47;48;49;50;51,0.0007903971440356095,0.0008028505862537602,-1.2453442218150713e-05,0.02069472323092138,0.020317455667352855,0.00037726756356852575
