stock,method,relative_mse_improvement_pct,relative_mae_improvement_pct,n_paired_seeds
AAPL,Drift,-6.809199449244834,-4.550579381786805,5
AAPL,GRU,-351.78961117101164,-159.5532864961113,5
AAPL,Local-MAE/Long-JEPA,-244.83476451296278,-125.26511967702075,5
AAPL,Mean-context,-621.6921315989401,-261.3613688173877,5
AAPL,Shared-target JEPA--MAE,-741.4171120011592,-243.50051674405898,5
AMZN,Drift,-11.95201331534192,-4.444075048553778,5
AMZN,GRU,-239.17105979874708,-112.6432340105957,5
AMZN,Local-MAE/Long-JEPA,-44.52189609514177,-29.04069238349705,5
AMZN,Mean-context,-416.90826767420356,-149.87064327736817,5
AMZN,Shared-target JEPA--MAE,-177.14836255567133,-80.19124308074869,5
GOOGL,Drift,-4.0698321668576805,-4.6333699877275185,5
GOOGL,GRU,-4912.939092273506,-517.7030406281967,5
GOOGL,Local-MAE/Long-JEPA,-1936.1935791858807,-290.87229605534816,5
GOOGL,Mean-context,-1784.471204029341,-393.55840970126127,5
GOOGL,Shared-target JEPA--MAE,-3059.2946718787593,-386.75888949034777,5
MSFT,Drift,-7.9435390341178245,-3.888554230359426,5
MSFT,GRU,-560.0409392547456,-235.97516168265096,5
MSFT,Local-MAE/Long-JEPA,-135.25980961526324,-82.90772007180848,5
MSFT,Mean-context,-820.6842123696246,-249.0322897461936,5
MSFT,Shared-target JEPA--MAE,-548.5827520955816,-219.97497006737066,5
NVDA,Drift,-4.9747759767644855,-0.7867597321365898,5
NVDA,GRU,-3239.220417468033,-542.2444683368947,5
NVDA,Local-MAE/Long-JEPA,-1741.6319611291976,-360.35426592446333,5
NVDA,Mean-context,-786.2256444471782,-207.29888052944392,5
NVDA,Shared-target JEPA--MAE,-1947.8077981718718,-384.4308271259814,5
AAPL,Naive-last,0.0,0.0,5
AMZN,Naive-last,0.0,0.0,5
GOOGL,Naive-last,0.0,0.0,5
MSFT,Naive-last,0.0,0.0,5
NVDA,Naive-last,0.0,0.0,5
