stock,model,n_paired_seeds,delta_mse,relative_mse_improvement_pct,delta_mae,relative_mae_improvement_pct
AAPL,GRU,5,0.05412289738596574,-351.78961117101164,0.1258896017074585,-159.5532864961113
AAPL,Local-MAE/Long-JEPA,5,0.037667874250585896,-244.83476451296278,0.0988357956785905,-125.26511967702075
AAPL,Shared-target JEPA--MAE,5,0.11406716116335511,-741.4171120011592,0.1921250495157744,-243.50051674405898
AMZN,GRU,5,0.04828467148076696,-239.17105979874708,0.11716684391624048,-112.6432340105957
AMZN,Local-MAE/Long-JEPA,5,0.00898823264179065,-44.52189609514177,0.030206929884458833,-29.04069238349705
AMZN,Shared-target JEPA--MAE,5,0.035763317253157054,-177.14836255567133,0.08341162204742432,-80.19124308074869
GOOGL,GRU,5,1.6207083728665448,-4912.939092273506,0.7168398010103326,-517.7030406281967
GOOGL,Local-MAE/Long-JEPA,5,0.6387225826210804,-1936.1935791858807,0.40275760901601687,-290.87229605534816
GOOGL,Shared-target JEPA--MAE,5,1.0092175776364964,-3059.2946718787593,0.535527403982062,-386.75888949034777
MSFT,GRU,5,0.06587742795916483,-560.0409392547456,0.1784861953634965,-235.97516168265096
MSFT,Local-MAE/Long-JEPA,5,0.015910566066040233,-135.25980961526324,0.0627094962722377,-82.90772007180848
MSFT,Shared-target JEPA--MAE,5,0.06452960524440951,-548.5827520955816,0.16638401771846573,-219.97497006737066
NVDA,GRU,5,2.861695869576449,-3239.220417468033,1.2770631250582243,-542.2444683368947
NVDA,Local-MAE/Long-JEPA,5,1.538648300254159,-1741.6319611291976,0.8486857346484534,-360.35426592446333
NVDA,Shared-target JEPA--MAE,5,1.7207947630542044,-1947.8077981718718,0.9053894730618126,-384.4308271259814
