method,horizon,mse,mse_ci_low,mse_ci_high,mae,mae_ci_low,mae_ci_high,direction_accuracy,direction_ci_low,direction_ci_high,n_stocks,n_runs
Drift,1,0.00039504999538029833,0.00021330861942538766,0.0006574036533184722,0.013692166219837026,0.010509249445797264,0.017464607444108857,0.45789473684210524,0.41052631578947374,0.5078947368421052,10,100
Drift,2,0.0012411896211034085,0.0007741350785010488,0.0017758729296459114,0.022639100957176625,0.01844008046182826,0.0272295524825085,0.5105263157894737,0.47105263157894733,0.5526315789473685,10,100
Drift,3,0.0015872612374112365,0.0010207276076936184,0.002275827169462989,0.028068800987306203,0.02284618163375442,0.03389213082959792,0.5236842105263158,0.48157894736842105,0.5684210526315788,10,100
Drift,4,0.0024868750914393803,0.0016072434547519862,0.003492802517661354,0.03475520091713785,0.02842373140299869,0.04163367667239066,0.5421052631578946,0.48421052631578937,0.5947368421052632,10,100
Drift,5,0.0028993628025333834,0.0018768655437210872,0.004101426037589833,0.03678168306582126,0.030351411432697355,0.04352174110558109,0.5552631578947369,0.5131578947368421,0.5973684210526315,10,100
GRU,1,0.00045462438418044754,0.000263171150439229,0.0007076372477449843,0.015080758314702219,0.011807208328924432,0.018722581609985498,0.5113157894736842,0.48131578947368425,0.5405263157894737,10,100
GRU,2,0.0011656546114151148,0.0007323435683278272,0.00165841105263182,0.023426675605587616,0.018918424298937732,0.02843164214937894,0.5234210526315788,0.4821052631578948,0.5660526315789474,10,100
GRU,3,0.001554439470167456,0.000997131378652115,0.00220640672283435,0.02890157868834454,0.023561418877836388,0.03471145538846181,0.4934210526315789,0.468157894736842,0.5173684210526315,10,100
GRU,4,0.0024213191449128737,0.0015860347718724562,0.0033600879868883188,0.03575060314180226,0.02910264754211097,0.04303364600171023,0.4939473684210526,0.46526315789473677,0.5242171052631575,10,100
GRU,5,0.0026446805679248586,0.001759031358949198,0.0036452014960006666,0.03760089280047009,0.031209293267763134,0.044640545425697585,0.49184210526315797,0.46236842105263154,0.5276315789473685,10,100
Local-MAE/Long-JEPA,1,0.0010472380639109519,0.0007008291183612916,0.0014548127211837958,0.024194022749189092,0.02052896510992243,0.028183324842891416,0.495,0.4671052631578948,0.5221052631578946,10,100
Local-MAE/Long-JEPA,2,0.001968769474235662,0.0012806879932856872,0.0027916430153356593,0.031897413708517695,0.026637913706390317,0.037900529708230345,0.5205263157894737,0.49184210526315786,0.546578947368421,10,100
Local-MAE/Long-JEPA,3,0.002546319797248785,0.001604345414303144,0.0036246616910540802,0.03646003919766942,0.02979540556377274,0.04369116759805408,0.4981578947368421,0.485,0.5113223684210522,10,100
Local-MAE/Long-JEPA,4,0.0032386215796697836,0.0021968449284602114,0.004401026250423296,0.04219450001212714,0.03553774568001049,0.04932986056249075,0.5128947368421053,0.49947368421052635,0.5260526315789473,10,100
Local-MAE/Long-JEPA,5,0.0035854472902649127,0.002411325999641001,0.004983786059676362,0.04377319787500276,0.037013711080543264,0.050817244321475434,0.5236842105263159,0.4921052631578949,0.5563157894736841,10,100
Mean-context,1,0.00039767155746585624,0.00021297099380142783,0.0006668448049347746,0.013776274697398783,0.010533479955118762,0.017656804561756445,0.45,0.4052631578947368,0.49217105263157335,10,100
Mean-context,2,0.001219184609225157,0.0007681976666776941,0.0017384909180329087,0.022717460588414916,0.0184499396650105,0.027375863781139445,0.513157894736842,0.47631578947368425,0.5526315789473684,10,100
Mean-context,3,0.0015696672672117367,0.0010071370341923154,0.0022379713743259986,0.0282533027104938,0.022857490890904622,0.03422156772285802,0.531578947368421,0.49210526315789477,0.5710526315789475,10,100
Mean-context,4,0.0024658499607053998,0.0016120621182843652,0.003447598527675307,0.03508471505567856,0.02859645878845564,0.042016484119008726,0.5394736842105262,0.48421052631578954,0.5894736842105264,10,100
Mean-context,5,0.0028319845634294065,0.0018553849062639014,0.003982120345518378,0.03716321494468594,0.030650000460526256,0.04417139097924132,0.5736842105263158,0.5368421052631579,0.613157894736842,10,100
Naive-last,1,0.0003730772665626591,0.00020485972855121035,0.000614235681136337,0.013266189474808492,0.01022930170752495,0.016830633623819553,0.0,0.0,0.0,10,100
Naive-last,2,0.0010951724584490076,0.0006964645336810737,0.001538531682085123,0.021638349953450608,0.01764168309145847,0.026010820763675745,0.005263157894736842,0.0,0.013157894736842105,10,100
