stock,n_matched_seeds,matched_seeds,shared_mse,local_mse,delta_mse,shared_mae,local_mae,delta_mae
NVDA,10,42;43;44;45;46;47;48;49;50;51,0.002736071144275658,0.002520435255697768,0.0002156358885778897,0.0401850290090078,0.03780337266593334,0.0023816563430744606
AAPL,10,42;43;44;45;46;47;48;49;50;51,0.001615104708701387,0.0017194729600448246,-0.00010436825134343746,0.027762017496922736,0.0292433131280612,-0.001481295631138465
MSFT,10,42;43;44;45;46;47;48;49;50;51,0.0013133938812339018,0.0015165175361239389,-0.0002031236548900371,0.027318810172636303,0.029273379169661794,-0.0019545689970254902
AMZN,10,42;43;44;45;46;47;48;49;50;51,0.0018686194968437636,0.0019231348249641122,-5.451532812034859e-05,0.03280903210232372,0.0332086463100399,-0.0003996142077161771
GOOGL,10,42;43;44;45;46;47;48;49;50;51,0.002061733235948625,0.0016064545814441348,0.00045527865450449003,0.035371159118367315,0.031368362352337746,0.004002796766029569
AVGO,10,42;43;44;45;46;47;48;49;50;51,0.005949630045624208,0.004346714332547802,0.0016029157130764068,0.058108733884965666,0.04938643547344802,0.008722298411517643
META,10,42;43;44;45;46;47;48;49;50;51,0.00430732343810105,0.003531096317680034,0.0007762271204210165,0.046982227214550754,0.044024130290888794,0.0029580969236619598
TSLA,10,42;43;44;45;46;47;48;49;50;51,0.005046440361778893,0.005503691283503543,-0.0004572509217246499,0.05251629909892611,0.05310207521702207,-0.0005857761180959598
COST,10,42;43;44;45;46;47;48;49;50;51,0.0009124527111827457,0.000994336853935036,-8.188414275229019e-05,0.023470542050567162,0.02400929715790732,-0.0005387551073401595
WMT,10,42;43;44;45;46;47;48;49;50;51,0.001230371428507449,0.001110938464718997,0.00011943296378845209,0.027111587475825937,0.025619335319712028,0.0014922521561139095
