stock,model,n_paired_seeds,delta_mse,relative_mse_improvement_pct,delta_mae,relative_mae_improvement_pct
AAPL,GRU,10,2.6272905724378735e-05,-2.226752017714464,0.0006786107818449027,-3.19430616582165
AAPL,Local-MAE/Long-JEPA,10,0.0005395972704588228,-45.733400155753564,0.007998925564155027,-37.651947085285975
AAPL,Shared-target JEPA--MAE,10,0.0004352290191153856,-36.88770121775288,0.006517629933016566,-30.679302537720133
AMZN,GRU,10,0.00010884370591471958,-8.95248826572467,0.002063466943065193,-8.324903450029222
AMZN,Local-MAE/Long-JEPA,10,0.0007073420455260584,-58.1794905751123,0.008421969137730469,-33.97780621897605
AMZN,Shared-target JEPA--MAE,10,0.0006528267174057097,-53.69555802983547,0.0080223549300143,-32.3655925086099
AVGO,GRU,10,0.000391742991398282,-13.812191073361024,0.005250667296595091,-14.564811817227703
AVGO,Local-MAE/Long-JEPA,10,0.001510502544587383,-53.25774862791958,0.01333607407856586,-36.99289982834707
AVGO,Shared-target JEPA--MAE,10,0.0031134182576637902,-109.77382827615695,0.02205837249008351,-61.187659808633704
COST,GRU,10,0.00018117799855998516,-43.635660392050326,0.0033985734042270427,-22.449989415824845
COST,Local-MAE/Long-JEPA,10,0.000579130582431024,-139.4802107235097,0.008870878420696645,-58.59844792700683
COST,Shared-target JEPA--MAE,10,0.0004972464396787335,-119.75889426658834,0.008332123313356485,-55.03958807055509
GOOGL,GRU,10,-5.968320005322403e-06,0.49421066635985716,-4.867307939804277e-06,0.01823467391403353
GOOGL,Local-MAE/Long-JEPA,10,0.00039880763823214844,-33.023528977056586,0.0046757658038558015,-17.517088663005023
GOOGL,Shared-target JEPA--MAE,10,0.0008540862927366383,-70.72317762549206,0.008678562569885372,-32.51299495769338
META,GRU,10,4.03751461445765e-05,-2.668124388120291,0.0023920742375776204,-9.238106625673932
META,Local-MAE/Long-JEPA,10,0.0020178555435862514,-133.34662785534985,0.018130575101454993,-70.01964376391777
META,Shared-target JEPA--MAE,10,0.0027940826640072683,-184.64230622390738,0.02108867202511695,-81.4437101079208
MSFT,GRU,10,2.4769144675623266e-06,-0.29912234517412045,0.0012378059293290458,-6.539437479799998
MSFT,Local-MAE/Long-JEPA,10,0.0006884568754867332,-83.1408746017417,0.010345054934548795,-54.65383414849898
MSFT,Shared-target JEPA--MAE,10,0.00048533322059669587,-58.610829335042226,0.008390485937523307,-44.32767440637207
NVDA,GRU,10,0.00014953461282707307,-7.1923613724861895,0.0013087938730850014,-3.8664678408654867
NVDA,Local-MAE/Long-JEPA,10,0.00044135989945793966,-21.22866293101438,0.003953514683097112,-11.679560620614023
NVDA,Shared-target JEPA--MAE,10,0.0006569957880358291,-31.60038360629976,0.006335171026171577,-18.71550252702349
TSLA,GRU,10,0.00025968622952372074,-7.756271713948453,0.0025714391749352195,-6.216193500197488
TSLA,Local-MAE/Long-JEPA,10,0.002155610670794795,-64.38347579244243,0.01173529384424909,-28.368883086401034
TSLA,Shared-target JEPA--MAE,10,0.0016983597490701455,-50.7263696884555,0.011149517726153127,-26.952828709781073
WMT,GRU,10,-1.719251843841442e-05,2.3835599852485823,-0.00016069930230609882,0.853231736074998
WMT,Local-MAE/Long-JEPA,10,0.0003896426490140943,-54.01981274954537,0.006785143445258175,-36.02566805354333
WMT,Shared-target JEPA--MAE,10,0.0005090756128025463,-70.57792402483864,0.008277395601372087,-43.948769644846315
