stock,method,mse_mean,mse_std,mae_mean,mae_std,direction_accuracy_mean,direction_accuracy_std,n_valid_seeds,n_direction_seeds
AAPL,Shared-target JEPA--MAE,0.001615104708701387,0.00027204821583729654,0.027762017496922736,0.002332507209082286,0.4968421052631579,0.030508161570925143,10,10
AAPL,Local-MAE/Long-JEPA,0.0017194729600448246,0.00020295340018295017,0.0292433131280612,0.0017336342737427743,0.5021052631578947,0.028955341804600358,10,10
AAPL,GRU,0.0012061485953103802,5.8332590018866296e-06,0.021922998345751073,0.00011124537192783586,0.49421052631578943,0.02607492105752872,10,10
AAPL,Naive-last,0.0011798756895860015,0.0,0.021244387563906172,0.0,0.0,0.0,10,10
AAPL,Drift,0.0012747009444681228,0.0,0.02219199894186056,0.0,0.5052631578947369,0.0,10,10
AAPL,Mean-context,0.001263728225575065,0.0,0.02236560787791137,0.0,0.5052631578947369,0.0,10,10
AMZN,Shared-target JEPA--MAE,0.0018686194968437636,0.0002331280830034515,0.03280903210232373,0.002238581279103511,0.5221052631578947,0.03489420320126825,10,10
AMZN,Local-MAE/Long-JEPA,0.0019231348249641122,0.00033615331894866674,0.0332086463100399,0.003035679089501493,0.5184210526315789,0.025694418448906683,10,10
AMZN,GRU,0.0013246364853527735,4.957519853841186e-05,0.02685014411537462,0.0006745406886554035,0.4726315789473684,0.03242530540953803,10,10
AMZN,Naive-last,0.0012157927794380539,0.0,0.024786677172309427,0.0,0.0,0.0,10,10
AMZN,Drift,0.0013851303802794605,0.0,0.02593435233046824,0.0,0.5473684210526316,0.0,10,10
AMZN,Mean-context,0.001358143414585567,0.0,0.025935429895176398,0.0,0.5526315789473685,0.0,10,10
AVGO,Shared-target JEPA--MAE,0.005949630045624208,0.0013250039717764008,0.058108733884965666,0.006421787171046746,0.5326315789473683,0.03136378944573553,10,10
AVGO,Local-MAE/Long-JEPA,0.004346714332547802,0.0007274356514555979,0.04938643547344802,0.00486094655234644,0.5342105263157895,0.0368212137926585,10,10
AVGO,GRU,0.0032279547793587,0.0004043290430297924,0.04130102869147725,0.003466698722881919,0.5321052631578947,0.03248694602528622,10,10
AVGO,Naive-last,0.002836211787960418,0.0,0.03605036139488216,0.0,0.0,0.0,10,10
AVGO,Drift,0.0030857812923982837,0.0,0.03669529038467624,0.0,0.5368421052631579,0.0,10,10
AVGO,Mean-context,0.003056635646622903,0.0,0.03716328597848153,0.0,0.5368421052631579,0.0,10,10
COST,Shared-target JEPA--MAE,0.0009124527111827457,8.556180695716387e-05,0.023470542050567166,0.0012750407319292558,0.47736842105263155,0.039855849831286816,10,10
COST,Local-MAE/Long-JEPA,0.0009943368539350361,0.00019080111972781313,0.02400929715790732,0.0019870415972236873,0.4826315789473684,0.018240552604308798,10,10
COST,GRU,0.0005963842700639972,0.00013566891686337204,0.01853699214143772,0.002028720444615303,0.48052631578947363,0.025790070407226987,10,10
COST,Naive-last,0.0004152062715040121,0.0,0.015138418737210679,0.0,0.005263157894736842,0.0,10,10
COST,Drift,0.00045497255881151897,0.0,0.01551020106811556,0.0,0.5,0.0,10,10
COST,Mean-context,0.0004544189721407563,0.0,0.015521852624959472,0.0,0.5,0.0,10,10
GOOGL,Shared-target JEPA--MAE,0.002061733235948625,0.0007326892681435101,0.035371159118367315,0.004958603324136844,0.5236842105263159,0.027767003142709478,10,10
GOOGL,Local-MAE/Long-JEPA,0.001606454581444135,0.00021474662203257826,0.031368362352337746,0.0023590655713345583,0.5478947368421052,0.0379085419947949,10,10
GOOGL,GRU,0.001201678623206664,7.751759935256227e-05,0.026687729240542142,0.001011561974187836,0.5626315789473685,0.03073431856980303,10,10
GOOGL,Naive-last,0.0012076469432119865,0.0,0.026692596548481946,0.0,0.0,0.0,10,10
GOOGL,Drift,0.001251443905539005,0.0,0.027541441607785277,0.0,0.5526315789473685,0.0,10,10
GOOGL,Mean-context,0.0012542222292230853,0.0,0.02794563678157585,0.0,0.5526315789473685,0.0,10,10
META,Shared-target JEPA--MAE,0.004307323438101051,0.0012480648736692304,0.046982227214550754,0.005927274403771197,0.5384210526315789,0.046552425792688285,10,10
META,Local-MAE/Long-JEPA,0.003531096317680034,0.0005950445734884689,0.044024130290888794,0.0030039060439064173,0.5352631578947369,0.03891811767083468,10,10
META,GRU,0.001553615920238359,0.0001675702737401705,0.028285629427011426,0.0012048783454890937,0.503157894736842,0.03130485336588834,10,10
META,Naive-last,0.0015132407740937825,0.0,0.025893555189433804,0.0,0.0,0.0,10,10
META,Drift,0.0017198484727671513,0.0,0.02691542300821499,0.0,0.5,0.0,10,10
META,Mean-context,0.0016851299463711915,0.0,0.026838338759032306,0.0,0.5105263157894737,0.0,10,10
MSFT,Shared-target JEPA--MAE,0.0013133938812339018,0.00020467402711839847,0.027318810172636303,0.0026775484739888973,0.48157894736842105,0.025332507154725712,10,10
MSFT,Local-MAE/Long-JEPA,0.001516517536123939,0.0004987387363777698,0.029273379169661794,0.00468633637938964,0.5052631578947369,0.041811843115133286,10,10
MSFT,GRU,0.0008305375751047681,5.180371031390847e-05,0.020166130164442044,0.0005758414759799756,0.49000000000000005,0.022528665778936155,10,10
MSFT,Naive-last,0.0008280606606372058,0.0,0.018928324235113,0.0,0.0,0.0,10,10
MSFT,Drift,0.0009014409514900562,0.0,0.01958873853164775,0.0,0.5578947368421052,0.0,10,10
MSFT,Mean-context,0.0008991028620081313,0.0,0.019791702763024225,0.0,0.5578947368421052,0.0,10,10
