stock,method,relative_mse_improvement_pct,relative_mae_improvement_pct,n_paired_seeds
AAPL,Drift,-6.809199449244834,-4.550579381786805,5
AAPL,GRU,-588.2785051939668,-221.6516978131859,5
AAPL,Local-MAE/Long-JEPA,-269.2328211151325,-139.47712675464942,5
AAPL,Mean-context,-621.6921315989401,-261.3613688173877,5
AAPL,Shared-target JEPA--MAE,-745.0297910724773,-256.21914331200907,5
AMZN,Drift,-11.95201331534192,-4.444075048553778,5
AMZN,GRU,-293.6249121071397,-133.29795034621938,5
AMZN,Local-MAE/Long-JEPA,-53.34329925363303,-28.15767587590407,5
AMZN,Mean-context,-416.90826767420356,-149.87064327736817,5
AMZN,Shared-target JEPA--MAE,-118.79199468651545,-60.13821510632067,5
GOOGL,Drift,-4.0698321668576805,-4.6333699877275185,5
GOOGL,GRU,-3935.1907839577934,-463.75969068699214,5
GOOGL,Local-MAE/Long-JEPA,-1231.432289336492,-214.77486443168883,5
GOOGL,Mean-context,-1784.471204029341,-393.55840970126127,5
GOOGL,Shared-target JEPA--MAE,-3606.553489683121,-430.69968994088157,5
MSFT,Drift,-7.9435390341178245,-3.888554230359426,5
MSFT,GRU,-567.3547168690029,-239.11049432926612,5
MSFT,Local-MAE/Long-JEPA,-649.1476408023551,-253.4185577822929,5
MSFT,Mean-context,-820.6842123696246,-249.0322897461936,5
MSFT,Shared-target JEPA--MAE,-1608.241196744141,-437.2783673979957,5
NVDA,Drift,-4.9747759767644855,-0.7867597321365898,5
NVDA,GRU,-3267.190688463223,-540.6969306335575,5
NVDA,Local-MAE/Long-JEPA,-1957.202260486932,-383.1093816790585,5
NVDA,Mean-context,-786.2256444471782,-207.29888052944392,5
NVDA,Shared-target JEPA--MAE,-2239.7670227061103,-415.5347740540521,5
AAPL,Naive-last,0.0,0.0,5
AMZN,Naive-last,0.0,0.0,5
GOOGL,Naive-last,0.0,0.0,5
MSFT,Naive-last,0.0,0.0,5
NVDA,Naive-last,0.0,0.0,5
