stock,seed,model,strategy,test_signature,model_mse,naive_mse,delta_mse,relative_mse_improvement_pct,model_mae,naive_mae,delta_mae,relative_mae_improvement_pct,model_source_file,naive_source_file
NVDA,42,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.0028915303852911937,0.0019788274472474546,0.0009127029380437391,-46.12342219698373,0.041591646688941275,0.03576570404203314,0.005825942646908132,-16.28918765323695,results/top10_with_sentiment/random/NVDA/seed_42/last_model_comparison_20260824_064831.csv,results/top10_with_sentiment/random/NVDA/seed_42/last_model_comparison_20260824_064831.csv
NVDA,43,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.0028038786629992667,0.0019788274472474546,0.0008250512157518121,-41.693944406292566,0.04218100542447677,0.03576570404203314,0.006415301382443624,-17.93701970721485,results/top10_with_sentiment/random/NVDA/seed_43/last_model_comparison_20260824_065634.csv,results/top10_with_sentiment/random/NVDA/seed_43/last_model_comparison_20260824_065634.csv
NVDA,44,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.0023988281428893162,0.0019788274472474546,0.0004200006956418616,-21.2247255932336,0.04016185528598726,0.03576570404203314,0.004396151243954115,-12.291527209383604,results/top10_with_sentiment/random/NVDA/seed_44/last_model_comparison_20260824_070438.csv,results/top10_with_sentiment/random/NVDA/seed_44/last_model_comparison_20260824_070438.csv
NVDA,45,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.0025196750898113583,0.0019788274472474546,0.0005408476425639037,-27.331723304941104,0.04026761057320983,0.03576570404203314,0.004501906531176686,-12.58721630611796,results/top10_with_sentiment/random/NVDA/seed_45/last_model_comparison_20260824_071235.csv,results/top10_with_sentiment/random/NVDA/seed_45/last_model_comparison_20260824_071235.csv
NVDA,46,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.002093806280497021,0.0019788274472474546,0.00011497883324956652,-5.8104527208525365,0.03668165930154685,0.03576570404203314,0.0009159552595137052,-2.560987638988573,results/top10_with_sentiment/random/NVDA/seed_46/last_model_comparison_20260824_072030.csv,results/top10_with_sentiment/random/NVDA/seed_46/last_model_comparison_20260824_072030.csv
NVDA,47,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.0037342537959811446,0.0019788274472474546,0.00175542634873369,-88.71043057217975,0.047088754417276696,0.03576570404203314,0.011323050375243553,-31.658961227035533,results/top10_with_sentiment/random/NVDA/seed_47/last_model_comparison_20260824_072835.csv,results/top10_with_sentiment/random/NVDA/seed_47/last_model_comparison_20260824_072835.csv
NVDA,48,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.0027751481807318542,0.0019788274472474546,0.0007963207334843996,-40.24205013893861,0.04198583047837019,0.03576570404203314,0.006220126436337049,-17.39131551563177,results/top10_with_sentiment/random/NVDA/seed_48/last_model_comparison_20260824_073638.csv,results/top10_with_sentiment/random/NVDA/seed_48/last_model_comparison_20260824_073638.csv
NVDA,49,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.0022942506127324722,0.0019788274472474546,0.0003154231654850176,-15.93990248739326,0.03832035384165418,0.03576570404203314,0.002554649799621035,-7.142735947875424,results/top10_with_sentiment/random/NVDA/seed_49/last_model_comparison_20260824_074433.csv,results/top10_with_sentiment/random/NVDA/seed_49/last_model_comparison_20260824_074433.csv
NVDA,50,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.0027463296085940008,0.0019788274472474546,0.0007675021613465461,-38.78570425198722,0.042559796253121215,0.03576570404203314,0.006794092211088072,-18.996109242260154,results/top10_with_sentiment/random/NVDA/seed_50/last_model_comparison_20260824_075229.csv,results/top10_with_sentiment/random/NVDA/seed_50/last_model_comparison_20260824_075229.csv
NVDA,51,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.002396295954323764,0.0019788274472474546,0.00041746850707630916,-21.09676150171694,0.038939648234334434,0.03576570404203314,0.003173944192301291,-8.874267338820333,results/top10_with_sentiment/random/NVDA/seed_51/last_model_comparison_20260824_080028.csv,results/top10_with_sentiment/random/NVDA/seed_51/last_model_comparison_20260824_080028.csv
AAPL,42,Shared-target JEPA--MAE,random,a7b43fe049d15b4cdf17,0.0013740511760608335,0.001071198807469044,0.0003028523685917894,-28.2722839570134,0.025333167327028748,0.021132184957203117,0.004200982369825631,-19.87954571821824,results/top10_with_sentiment/random/AAPL/seed_42/last_model_comparison_20260824_080829.csv,results/top10_with_sentiment/random/AAPL/seed_42/last_model_comparison_20260824_080829.csv
