stock,method,relative_mse_improvement_pct,relative_mae_improvement_pct,n_paired_seeds
AAPL,Drift,-7.25720959194067,-4.956613145358353,10
AAPL,GRU,-17.915264714510172,-16.65968273476198,10
AAPL,Local-MAE/Long-JEPA,-27.038042436712214,-25.437195802700938,10
AAPL,Mean-context,-670.4342573894041,-267.5661098075076,10
AAPL,Shared-target JEPA--MAE,-22.204116583676374,-19.39436357093297,10
AMZN,Drift,-11.171223062618932,-4.369985512604549,10
AMZN,GRU,-17.62492087259586,-12.116093880145822,10
AMZN,Local-MAE/Long-JEPA,-46.55891170418073,-26.101751998047412,10
AMZN,Mean-context,-481.7369397511469,-161.16651564171443,10
AMZN,Shared-target JEPA--MAE,-41.25419258668829,-23.335300015836964,10
AVGO,Drift,-6.4861169655008695,-1.9249561645442597,10
AVGO,GRU,-20.32966435127556,-17.508176693492608,10
AVGO,Local-MAE/Long-JEPA,-77.75249117372103,-33.25301647382005,10
AVGO,Mean-context,-1021.7346058312776,-295.5842916917067,10
AVGO,Shared-target JEPA--MAE,-87.02563742097367,-40.37022913994182,10
COST,Drift,-10.669221922419503,-2.7057608951566783,10
COST,GRU,-38.362018391708844,-25.1831637339129,10
COST,Local-MAE/Long-JEPA,-96.30325093544239,-40.529903711378054,10
COST,Mean-context,-197.28605996847423,-91.76256004826955,10
COST,Shared-target JEPA--MAE,-40.828586954910826,-22.86692092138101,10
GOOGL,Drift,-0.4732556675083216,-3.4500563991742963,10
GOOGL,GRU,-6.086215103656628,-5.398189415767681,10
GOOGL,Local-MAE/Long-JEPA,-193.16143169567565,-56.62086029647101,10
GOOGL,Mean-context,-1660.1286805084849,-382.0463899053939,10
GOOGL,Shared-target JEPA--MAE,-71.23178220122534,-29.338866376080052,10
META,Drift,-10.89727249527003,-3.559449843858121,10
META,GRU,-45.11225277805843,-26.851032638719467,10
META,Local-MAE/Long-JEPA,-54.290016734147194,-34.96548009856279,10
META,Mean-context,-860.0115145448857,-274.11358665323786,10
META,Shared-target JEPA--MAE,-41.10431641996703,-28.60291379098253,10
MSFT,Drift,-7.7931396971258895,-3.673472753480513,10
MSFT,GRU,0.8743195653868542,-3.724549691449686,10
MSFT,Local-MAE/Long-JEPA,-135.0118600847809,-66.92986078231536,10
MSFT,Mean-context,-1023.3761828565137,-276.43424071135917,10
MSFT,Shared-target JEPA--MAE,-140.90287173879665,-61.81772439330994,10
NVDA,Drift,-2.2299570101622046,0.42159812798468976,10
NVDA,GRU,-43.512355721494686,-18.643521315693302,10
NVDA,Local-MAE/Long-JEPA,-64.9356730787442,-27.740161626393967,10
NVDA,Mean-context,-1229.9928225846252,-250.1660066680826,10
NVDA,Shared-target JEPA--MAE,-34.69591171745193,-14.572932778656517,10
TSLA,Drift,-22.621270821379735,-7.335380420785439,10
TSLA,GRU,-9.906913934376643,-4.572907381181389,10
TSLA,Local-MAE/Long-JEPA,-54.16636291115263,-27.776884715660525,10
TSLA,Mean-context,-643.1534795854204,-181.46187763418652,10
TSLA,Shared-target JEPA--MAE,-54.360079084872474,-24.925402815943432,10
WMT,Drift,-7.152197113661897,-2.9100836306627422,10
WMT,GRU,-6.661845605551844,-0.6072660799365159,10
WMT,Local-MAE/Long-JEPA,-30.268596100240615,-22.47408896056902,10
WMT,Mean-context,-225.74500912005004,-104.67071065693753,10
WMT,Shared-target JEPA--MAE,-34.901024989049844,-24.99593816653912,10
AAPL,Naive-last,0.0,0.0,10
AMZN,Naive-last,0.0,0.0,10
AVGO,Naive-last,0.0,0.0,10
COST,Naive-last,0.0,0.0,10
GOOGL,Naive-last,0.0,0.0,10
META,Naive-last,0.0,0.0,10
MSFT,Naive-last,0.0,0.0,10
NVDA,Naive-last,0.0,0.0,10
TSLA,Naive-last,0.0,0.0,10
WMT,Naive-last,0.0,0.0,10
