stock,method,mse_mean,mse_std,mae_mean,mae_std,direction_accuracy_mean,direction_accuracy_std,n_valid_seeds,n_direction_seeds
AVGO,Shared-target JEPA--MAE,0.005842109903599773,0.0010964256776191455,0.056685057293068164,0.005269604506385166,0.5285087719298246,0.021148356932002108,3,3
AVGO,Local-MAE/Long-JEPA,0.0078573707531503,0.004816796537705069,0.06128834209388547,0.014297312428719849,0.5570175438596491,0.036234016758461156,3,3
AVGO,GRU,0.0036027015675792807,0.0001600225195831804,0.047010019803909876,0.0018367688284840642,0.5109649122807017,0.043804790253153945,3,3
AVGO,Naive-last,0.00301088671668516,0.0,0.03984621198553788,0.0,0.0,0.0,3,3
AVGO,Drift,0.003206176350828088,0.0,0.040613234099490865,0.0,0.5723684210526315,0.0,3,3
AVGO,Mean-context,0.03377415824343458,0.0,0.15762535544896597,0.0,0.0,0.0,3,3
COST,Shared-target JEPA--MAE,0.00046337468799591725,8.553497980203262e-05,0.016586909678829986,0.0011905998149801364,0.456140350877193,0.037983570341422745,3,3
COST,Local-MAE/Long-JEPA,0.0006292176206099282,0.0002029028236700337,0.019405055867422263,0.0031142461294029686,0.4276315789473684,0.023720732075420973,3,3
COST,GRU,0.0005350435082885843,2.5122334365117385e-05,0.018492075245369933,0.000352266379198273,0.5043859649122807,0.021148356932002108,3,3
COST,Naive-last,0.00040763896067421763,0.0,0.014902843613373599,0.0,0.006578947368421052,0.0,3,3
COST,Drift,0.00045113086603079433,0.0,0.015306078928130617,0.0,0.5,0.0,3,3
COST,Mean-context,0.00121185380508482,0.0,0.02857807443299525,0.0,0.006578947368421052,0.0,3,3
NVDA,Shared-target JEPA--MAE,0.0027408535810656037,0.00041136689214118984,0.042711277598547835,0.003711169178809505,0.5241228070175439,0.021148356932002108,3,3
NVDA,Local-MAE/Long-JEPA,0.003727807964576779,0.0012289834446956123,0.047545148250891976,0.005309571106701228,0.5504385964912281,0.010049508102973304,3,3
NVDA,GRU,0.0037776086541745223,0.0012349450168564439,0.0485720974425867,0.006551672669966323,0.5043859649122807,0.013695171049119288,3,3
NVDA,Naive-last,0.0019788274472474546,0.0,0.03576570404203314,0.0,0.0,0.0,3,3
NVDA,Drift,0.002022954448626363,0.0,0.03561491650333139,0.0,0.5460526315789473,0.0,3,3
NVDA,Mean-context,0.0263182630197257,0.0,0.12523933760071246,0.0,0.0,0.0,3,3
