severity,status,stock,seed,method,strategy,source_file,details
warning,unsupported_model_row,AVGO,42,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_2/local_long/AVGO/seed_42/last_model_comparison_20260825_101014.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,AVGO,42,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_2/random/AVGO/seed_42/last_model_comparison_20260825_101018.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,AVGO,46,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_2/local_long/AVGO/seed_46/last_model_comparison_20260825_101435.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,AVGO,46,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_2/random/AVGO/seed_46/last_model_comparison_20260825_101437.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,AVGO,50,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_2/local_long/AVGO/seed_50/last_model_comparison_20260825_101855.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,AVGO,50,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_2/random/AVGO/seed_50/last_model_comparison_20260825_101859.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,COST,42,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_2/local_long/COST/seed_42/last_model_comparison_20260825_102317.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,COST,42,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_2/random/COST/seed_42/last_model_comparison_20260825_102318.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,COST,46,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_2/local_long/COST/seed_46/last_model_comparison_20260825_102736.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,COST,46,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_2/random/COST/seed_46/last_model_comparison_20260825_102738.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,COST,50,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_2/local_long/COST/seed_50/last_model_comparison_20260825_103155.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,COST,50,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_2/random/COST/seed_50/last_model_comparison_20260825_103158.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,NVDA,42,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_2/local_long/NVDA/seed_42/last_model_comparison_20260825_095716.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,NVDA,42,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_2/random/NVDA/seed_42/last_model_comparison_20260825_095719.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,NVDA,46,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_2/local_long/NVDA/seed_46/last_model_comparison_20260825_100135.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,NVDA,46,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_2/random/NVDA/seed_46/last_model_comparison_20260825_100140.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,NVDA,50,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_2/local_long/NVDA/seed_50/last_model_comparison_20260825_100558.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,NVDA,50,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_2/random/NVDA/seed_50/last_model_comparison_20260825_100557.csv,Model 'previous_patch' is not part of the thesis method set
