stock,seed,model,strategy,test_signature,model_mse,naive_mse,delta_mse,relative_mse_improvement_pct,model_mae,naive_mae,delta_mae,relative_mae_improvement_pct,model_source_file,naive_source_file
NVDA,42,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.002560990937467592,0.0019788274472474546,0.0005821634902201372,-29.419618725721918,0.04082503349422232,0.03576570404203314,0.005059329452189176,-14.145756633906242,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/NVDA/seed_42/last_model_comparison_20260825_103625.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/NVDA/seed_42/last_model_comparison_20260825_103625.csv
NVDA,46,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.002723235434162412,0.0019788274472474546,0.0007444079869149572,-37.61864067280992,0.04197653132539831,0.03576570404203314,0.006210827283365167,-17.36531532013456,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/NVDA/seed_46/last_model_comparison_20260825_104044.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/NVDA/seed_46/last_model_comparison_20260825_104044.csv
NVDA,50,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.0026632216771956554,0.0019788274472474546,0.0006843942299482007,-34.58584683066691,0.041633953673667026,0.03576570404203314,0.005868249631633883,-16.407476907870468,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/NVDA/seed_50/last_model_comparison_20260825_104505.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/NVDA/seed_50/last_model_comparison_20260825_104505.csv
AVGO,42,Shared-target JEPA--MAE,random,0574650739836f4c963d,0.006454450037956409,0.00301088671668516,0.0034435633212712494,-114.37040464486306,0.05851975360787229,0.03984621198553788,0.018673541622334408,-46.864032217446265,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/AVGO/seed_42/last_model_comparison_20260825_104926.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/AVGO/seed_42/last_model_comparison_20260825_104926.csv
AVGO,46,Shared-target JEPA--MAE,random,0574650739836f4c963d,0.006206269830133214,0.00301088671668516,0.0031953831134480543,-106.12764325341392,0.0583645583718623,0.03984621198553788,0.018518346386324422,-46.474546672204696,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/AVGO/seed_46/last_model_comparison_20260825_105344.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/AVGO/seed_46/last_model_comparison_20260825_105344.csv
AVGO,50,Shared-target JEPA--MAE,random,0574650739836f4c963d,0.006852652780728343,0.00301088671668516,0.003841766064043183,-127.59583556410853,0.06067548082455208,0.03984621198553788,0.020829268839014203,-52.274150543028156,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/AVGO/seed_50/last_model_comparison_20260825_105804.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/AVGO/seed_50/last_model_comparison_20260825_105804.csv
COST,42,Shared-target JEPA--MAE,random,334d0ea0f0e53790e465,0.0006082327458580882,0.0004076389606742177,0.0002005937851838705,-49.208688210787514,0.018529556898743298,0.014902843613373599,0.0036267132853696985,-24.33571323338009,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/COST/seed_42/last_model_comparison_20260825_110226.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/COST/seed_42/last_model_comparison_20260825_110226.csv
COST,46,Shared-target JEPA--MAE,random,334d0ea0f0e53790e465,0.0005473438071105214,0.0004076389606742177,0.0001397048464363037,-34.27171097807672,0.01835512016703815,0.014902843613373599,0.0034522765536645506,-23.165220297732485,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/COST/seed_46/last_model_comparison_20260825_110644.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/COST/seed_46/last_model_comparison_20260825_110644.csv
COST,50,Shared-target JEPA--MAE,random,334d0ea0f0e53790e465,0.0005348477675401913,0.0004076389606742177,0.00012720880686597363,-31.206243548353577,0.01765528527505106,0.014902843613373599,0.0027524416616774624,-18.46923803996346,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/COST/seed_50/last_model_comparison_20260825_111106.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/COST/seed_50/last_model_comparison_20260825_111106.csv
NVDA,42,Local-MAE/Long-JEPA,local_long,09153d935a7c9a4488bb,0.0031478788576564283,0.0019788274472474546,0.0011690514104089737,-59.07798641236365,0.04417094341234157,0.03576570404203314,0.008405239370308425,-23.50083577393104,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/local_long/NVDA/seed_42/last_model_comparison_20260825_103620.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/local_long/NVDA/seed_42/last_model_comparison_20260825_103620.csv
