stock,method,relative_mse_improvement_pct,relative_mae_improvement_pct,n_paired_seeds
AVGO,Drift,-6.4861169655008695,-1.9249561645442597,3
AVGO,GRU,-19.655832536458913,-17.97864203747169,3
AVGO,Local-MAE/Long-JEPA,-98.8801417152179,-40.63104141860365,3
AVGO,Mean-context,-1021.7346058312777,-295.5842916917067,3
AVGO,Shared-target JEPA--MAE,-116.03129448746184,-48.5375764775597,3
COST,Drift,-10.669221922419503,-2.705760895156678,3
COST,GRU,-31.25426171326824,-24.084206511939836,3
COST,Local-MAE/Long-JEPA,-39.51846447411079,-25.464632580284018,3
COST,Mean-context,-197.28605996847423,-91.76256004826955,3
COST,Shared-target JEPA--MAE,-38.228880912405934,-21.99005719035868,3
NVDA,Drift,-2.2299570101622046,0.4215981279846898,3
NVDA,GRU,-90.90136734403848,-35.80635064670618,3
NVDA,Local-MAE/Long-JEPA,-72.00343591019679,-27.376218406462332,3
NVDA,Mean-context,-1229.9928225846252,-250.1660066680826,3
NVDA,Shared-target JEPA--MAE,-33.87470207639958,-15.97284962063709,3
AVGO,Naive-last,0.0,0.0,3
COST,Naive-last,0.0,0.0,3
NVDA,Naive-last,0.0,0.0,3
