stock,method,mse_mean,mse_std,mae_mean,mae_std,direction_accuracy_mean,direction_accuracy_std,n_valid_seeds,n_direction_seeds
AVGO,Shared-target JEPA--MAE,0.006504457549605988,0.00032608019430970225,0.05918659760142889,0.0012917435230700115,0.5131578947368421,0.030148524308919997,3,3
AVGO,Local-MAE/Long-JEPA,0.005988055769028118,0.001994626135264294,0.056036142881126384,0.0064724083492558055,0.5175438596491228,0.07335845913893736,3,3
AVGO,GRU,0.0036027015675792807,0.0001600225195831804,0.047010019803909876,0.0018367688284840642,0.5109649122807017,0.043804790253153945,3,3
AVGO,Naive-last,0.00301088671668516,0.0,0.03984621198553788,0.0,0.0,0.0,3,3
AVGO,Drift,0.003206176350828088,0.0,0.040613234099490865,0.0,0.5723684210526315,0.0,3,3
AVGO,Mean-context,0.03377415824343458,0.0,0.15762535544896597,0.0,0.0,0.0,3,3
COST,Shared-target JEPA--MAE,0.0005634747735029336,3.926187486919588e-05,0.01817998744694417,0.00046270003267127885,0.4692982456140351,0.031090892277977664,3,3
COST,Local-MAE/Long-JEPA,0.0005687316185308929,3.482657627934391e-05,0.01869779798353351,0.0006205183529488894,0.46271929824561403,0.023104503843975322,3,3
COST,GRU,0.0005350435082885843,2.5122334365117385e-05,0.018492075245369933,0.000352266379198273,0.5043859649122807,0.021148356932002108,3,3
COST,Naive-last,0.00040763896067421763,0.0,0.014902843613373599,0.0,0.006578947368421052,0.0,3,3
COST,Drift,0.00045113086603079433,0.0,0.015306078928130617,0.0,0.5,0.0,3,3
COST,Mean-context,0.00121185380508482,0.0,0.02857807443299525,0.0,0.006578947368421052,0.0,3,3
NVDA,Shared-target JEPA--MAE,0.0026491493496085526,8.203256658015698e-05,0.04147850616442922,0.0005912780732421347,0.5109649122807017,0.023104503843975357,3,3
NVDA,Local-MAE/Long-JEPA,0.0034036511999996585,0.0004532159381944081,0.04555700129518906,0.002559573606573414,0.5087719298245613,0.024907492744738028,3,3
NVDA,GRU,0.0037776086541745223,0.0012349450168564439,0.0485720974425867,0.006551672669966323,0.5043859649122807,0.013695171049119288,3,3
NVDA,Naive-last,0.0019788274472474546,0.0,0.03576570404203314,0.0,0.0,0.0,3,3
NVDA,Drift,0.002022954448626363,0.0,0.03561491650333139,0.0,0.5460526315789473,0.0,3,3
NVDA,Mean-context,0.0263182630197257,0.0,0.12523933760071246,0.0,0.0,0.0,3,3
