stock,seed,model,strategy,test_signature,model_mse,naive_mse,delta_mse,relative_mse_improvement_pct,model_mae,naive_mae,delta_mae,relative_mae_improvement_pct,model_source_file,naive_source_file
NVDA,42,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.00375567591234158,0.0019788274472474546,0.0017768484650941252,-89.79299673479454,0.04948055395170262,0.03576570404203314,0.01371484990966948,-38.34637197006186,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/random/NVDA/seed_42/last_model_comparison_20260825_111531.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/random/NVDA/seed_42/last_model_comparison_20260825_111531.csv
NVDA,46,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.002772978392930217,0.0019788274472474546,0.0007941509456827625,-40.132399961776606,0.04199682947640356,0.03576570404203314,0.006231125434370419,-17.422068434742332,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/random/NVDA/seed_46/last_model_comparison_20260825_111950.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/random/NVDA/seed_46/last_model_comparison_20260825_111950.csv
NVDA,50,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.002489337308375105,0.0019788274472474546,0.0005105098611276502,-25.798604210678832,0.040774103783463175,0.03576570404203314,0.005008399741430032,-14.003358456313288,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/random/NVDA/seed_50/last_model_comparison_20260825_112412.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/random/NVDA/seed_50/last_model_comparison_20260825_112412.csv
AVGO,42,Shared-target JEPA--MAE,random,0574650739836f4c963d,0.005497270837127732,0.00301088671668516,0.002486384120442572,-82.5797963989811,0.053842913133925516,0.03984621198553788,0.013996701148387636,-35.126804910508724,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/random/AVGO/seed_42/last_model_comparison_20260825_112830.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/random/AVGO/seed_42/last_model_comparison_20260825_112830.csv
AVGO,46,Shared-target JEPA--MAE,random,0574650739836f4c963d,0.00454608076831488,0.00301088671668516,0.0015351940516297197,-50.988104039991704,0.052043610107839894,0.03984621198553788,0.012197398122302014,-30.611186144191173,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/random/AVGO/seed_46/last_model_comparison_20260825_113250.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/random/AVGO/seed_46/last_model_comparison_20260825_113250.csv
AVGO,50,Shared-target JEPA--MAE,random,0574650739836f4c963d,0.00748313080615352,0.00301088671668516,0.00447224408946836,-148.53578066172093,0.06759457104398232,0.03984621198553788,0.027748359058444444,-69.6386373402713,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/random/AVGO/seed_50/last_model_comparison_20260825_113711.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/random/AVGO/seed_50/last_model_comparison_20260825_113711.csv
COST,42,Shared-target JEPA--MAE,random,334d0ea0f0e53790e465,0.0006623734497826027,0.0004076389606742177,0.00025473448910838504,-62.49022141727202,0.020784559491776704,0.014902843613373599,0.005881715878403105,-39.4670710569957,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/random/COST/seed_42/last_model_comparison_20260825_114131.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/random/COST/seed_42/last_model_comparison_20260825_114131.csv
COST,46,Shared-target JEPA--MAE,random,334d0ea0f0e53790e465,0.0005284809055633051,0.0004076389606742177,0.00012084194488908744,-29.64435604713052,0.01867119583644363,0.014902843613373599,0.003768352223070032,-25.286128747190013,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/random/COST/seed_46/last_model_comparison_20260825_114550.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/random/COST/seed_46/last_model_comparison_20260825_114550.csv
COST,50,Shared-target JEPA--MAE,random,334d0ea0f0e53790e465,0.000596479831326535,0.0004076389606742177,0.0001888408706523173,-46.32552058811613,0.01768876710220386,0.014902843613373599,0.002785923488830262,-18.693905412321538,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/random/COST/seed_50/last_model_comparison_20260825_115011.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/random/COST/seed_50/last_model_comparison_20260825_115011.csv
NVDA,42,Local-MAE/Long-JEPA,local_long,09153d935a7c9a4488bb,0.003925652521516282,0.0019788274472474546,0.0019468250742688278,-98.38276081003717,0.0517856572950749,0.03576570404203314,0.016019953253041758,-44.791382365113044,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/NVDA/seed_42/last_model_comparison_20260825_111527.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/NVDA/seed_42/last_model_comparison_20260825_111527.csv
NVDA,46,Local-MAE/Long-JEPA,local_long,09153d935a7c9a4488bb,0.003767640025811355,0.0019788274472474546,0.0017888125785639002,-90.3976029366348,0.04852941305817742,0.03576570404203314,0.012763709016144278,-35.68700619214404,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/NVDA/seed_46/last_model_comparison_20260825_111948.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/NVDA/seed_46/last_model_comparison_20260825_111948.csv
NVDA,50,Local-MAE/Long-JEPA,local_long,09153d935a7c9a4488bb,0.0027339935359057136,0.0019788274472474546,0.0007551660886582589,-38.16230109950686,0.04210943066956181,0.03576570404203314,0.006343726627528669,-17.73689851057676,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/NVDA/seed_50/last_model_comparison_20260825_112408.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/NVDA/seed_50/last_model_comparison_20260825_112408.csv
AVGO,42,Local-MAE/Long-JEPA,local_long,0574650739836f4c963d,0.0083082650167264,0.00301088671668516,0.00529737830004124,-175.94080410548943,0.06809514982527808,0.03984621198553788,0.028248937839740196,-70.89491430199965,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_42/last_model_comparison_20260825_112829.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_42/last_model_comparison_20260825_112829.csv
AVGO,46,Local-MAE/Long-JEPA,local_long,0574650739836f4c963d,0.004411612573080321,0.00301088671668516,0.0014007258563951607,-46.52203779813051,0.050584395906250725,0.03984621198553788,0.010738183920712845,-26.9490709044319,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_46/last_model_comparison_20260825_113249.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_46/last_model_comparison_20260825_113249.csv
