stock,method,relative_mse_improvement_pct,relative_mae_improvement_pct,n_paired_seeds
AVGO,Drift,-6.4861169655008695,-1.9249561645442597,3
AVGO,GRU,-19.655832536458913,-17.97864203747169,3
AVGO,Local-MAE/Long-JEPA,-106.42877811703359,-47.895490512536554,3
AVGO,Mean-context,-1021.7346058312777,-295.5842916917067,3
AVGO,Shared-target JEPA--MAE,-94.0345603668979,-45.12554279832373,3
COST,Drift,-10.669221922419503,-2.705760895156678,3
COST,GRU,-31.25426171326824,-24.084206511939836,3
COST,Local-MAE/Long-JEPA,-61.97977494833742,-35.85884935841563,3
COST,Mean-context,-197.28605996847423,-91.76256004826955,3
COST,Shared-target JEPA--MAE,-46.15336601750622,-27.815701738835752,3
NVDA,Drift,-2.2299570101622046,0.4215981279846898,3
NVDA,GRU,-90.90136734403848,-35.80635064670618,3
NVDA,Local-MAE/Long-JEPA,-75.64755494872628,-32.73842902261128,3
NVDA,Mean-context,-1229.9928225846252,-250.1660066680826,3
NVDA,Shared-target JEPA--MAE,-51.90800030241666,-23.257266287039158,3
AVGO,Naive-last,0.0,0.0,3
COST,Naive-last,0.0,0.0,3
NVDA,Naive-last,0.0,0.0,3
