stock,method,mse_mean,mse_std,mae_mean,mae_std,direction_accuracy_mean,direction_accuracy_std,n_valid_seeds,n_direction_seeds
AVGO,Shared-target JEPA--MAE,0.005842160803865377,0.0014985918550623483,0.05782703142858258,0.00850664419431792,0.5394736842105263,0.01740625862542495,3,3
AVGO,Local-MAE/Long-JEPA,0.006215336659741247,0.0019643585210250107,0.05893075066667638,0.008783992439729407,0.5087719298245613,0.0625288483744879,3,3
AVGO,GRU,0.0036027015675792807,0.0001600225195831804,0.047010019803909876,0.0018367688284840642,0.5109649122807017,0.043804790253153945,3,3
AVGO,Naive-last,0.00301088671668516,0.0,0.03984621198553788,0.0,0.0,0.0,3,3
AVGO,Drift,0.003206176350828088,0.0,0.040613234099490865,0.0,0.5723684210526315,0.0,3,3
AVGO,Mean-context,0.03377415824343458,0.0,0.15762535544896597,0.0,0.0,0.0,3,3
COST,Shared-target JEPA--MAE,0.0005957780622241476,6.694903068218346e-05,0.019048174143474733,0.0015819504141449284,0.4780701754385965,0.018991785170711373,3,3
COST,Local-MAE/Long-JEPA,0.0006602926711018394,9.63835240476505e-05,0.020246831854813505,0.0016460935505440129,0.4890350877192982,0.007596714068284537,3,3
COST,GRU,0.0005350435082885843,2.5122334365117385e-05,0.018492075245369933,0.000352266379198273,0.5043859649122807,0.021148356932002108,3,3
COST,Naive-last,0.00040763896067421763,0.0,0.014902843613373599,0.0,0.006578947368421052,0.0,3,3
COST,Drift,0.00045113086603079433,0.0,0.015306078928130617,0.0,0.5,0.0,3,3
COST,Mean-context,0.00121185380508482,0.0,0.02857807443299525,0.0,0.006578947368421052,0.0,3,3
NVDA,Shared-target JEPA--MAE,0.0030059972045489674,0.0006645499905199769,0.04408382907052313,0.004713517170054711,0.5394736842105262,0.02867696673382018,3,3
NVDA,Local-MAE/Long-JEPA,0.0034757620277444507,0.0006472305298834878,0.047474833674271376,0.00492356006206808,0.5350877192982456,0.010049508102973297,3,3
NVDA,GRU,0.0037776086541745223,0.0012349450168564439,0.0485720974425867,0.006551672669966323,0.5043859649122807,0.013695171049119288,3,3
NVDA,Naive-last,0.0019788274472474546,0.0,0.03576570404203314,0.0,0.0,0.0,3,3
NVDA,Drift,0.002022954448626363,0.0,0.03561491650333139,0.0,0.5460526315789473,0.0,3,3
NVDA,Mean-context,0.0263182630197257,0.0,0.12523933760071246,0.0,0.0,0.0,3,3
