severity,status,stock,seed,method,strategy,source_file,details
warning,unsupported_model_row,AVGO,42,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_5/local_long/AVGO/seed_42/last_model_comparison_20260825_120730.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,AVGO,42,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_5/random/AVGO/seed_42/last_model_comparison_20260825_120732.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,AVGO,46,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_5/local_long/AVGO/seed_46/last_model_comparison_20260825_121148.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,AVGO,46,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_5/random/AVGO/seed_46/last_model_comparison_20260825_121152.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,AVGO,50,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_5/local_long/AVGO/seed_50/last_model_comparison_20260825_121608.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,AVGO,50,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_5/random/AVGO/seed_50/last_model_comparison_20260825_121608.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,COST,42,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_5/local_long/COST/seed_42/last_model_comparison_20260825_122026.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,COST,42,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_5/random/COST/seed_42/last_model_comparison_20260825_122029.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,COST,46,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_5/local_long/COST/seed_46/last_model_comparison_20260825_122447.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,COST,46,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_5/random/COST/seed_46/last_model_comparison_20260825_122448.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,COST,50,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_5/local_long/COST/seed_50/last_model_comparison_20260825_122903.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,COST,50,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_5/random/COST/seed_50/last_model_comparison_20260825_122908.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,NVDA,42,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_5/local_long/NVDA/seed_42/last_model_comparison_20260825_115432.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,NVDA,42,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_5/random/NVDA/seed_42/last_model_comparison_20260825_115436.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,NVDA,46,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_5/local_long/NVDA/seed_46/last_model_comparison_20260825_115852.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,NVDA,46,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_5/random/NVDA/seed_46/last_model_comparison_20260825_115853.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,NVDA,50,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_5/local_long/NVDA/seed_50/last_model_comparison_20260825_120310.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,NVDA,50,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_5/random/NVDA/seed_50/last_model_comparison_20260825_120313.csv,Model 'previous_patch' is not part of the thesis method set
