stock,seed,model,strategy,test_signature,model_mse,naive_mse,delta_mse,relative_mse_improvement_pct,model_mae,naive_mae,delta_mae,relative_mae_improvement_pct,model_source_file,naive_source_file
NVDA,42,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.0028211356349307462,0.0019788274472474546,0.0008423081876832916,-42.566025090006754,0.041848658863455054,0.03576570404203314,0.006082954821421911,-17.007787164689958,results/top10_without_sentiment/random/NVDA/seed_42/last_model_comparison_20260823_121329.csv,results/top10_without_sentiment/random/NVDA/seed_42/last_model_comparison_20260823_121329.csv
NVDA,43,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.002093455441054598,0.0019788274472474546,0.00011462799380714331,-5.792723057616299,0.03673172281613867,0.03576570404203314,0.0009660187741055287,-2.7009639541003545,results/top10_without_sentiment/random/NVDA/seed_43/last_model_comparison_20260823_122037.csv,results/top10_without_sentiment/random/NVDA/seed_43/last_model_comparison_20260823_122037.csv
NVDA,44,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.0020488215269020187,0.0019788274472474546,6.999407965456407e-05,-3.537149221976161,0.03618440264345785,0.03576570404203314,0.0004186986014247038,-1.1706706540227312,results/top10_without_sentiment/random/NVDA/seed_44/last_model_comparison_20260823_122748.csv,results/top10_without_sentiment/random/NVDA/seed_44/last_model_comparison_20260823_122748.csv
NVDA,45,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.003133367012538414,0.0019788274472474546,0.0011545395652909594,-58.344630649677,0.0452848130641015,0.03576570404203314,0.009519109022068359,-26.615187026323206,results/top10_without_sentiment/random/NVDA/seed_45/last_model_comparison_20260823_123503.csv,results/top10_without_sentiment/random/NVDA/seed_45/last_model_comparison_20260823_123503.csv
NVDA,46,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.002376906242500763,0.0019788274472474546,0.0003980787952533086,-20.116902856135106,0.03878782132493431,0.03576570404203314,0.0030221172829011655,-8.449763156764549,results/top10_without_sentiment/random/NVDA/seed_46/last_model_comparison_20260823_124206.csv,results/top10_without_sentiment/random/NVDA/seed_46/last_model_comparison_20260823_124206.csv
NVDA,47,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.0025661107064247207,0.0019788274472474546,0.0005872832591772661,-29.678346133422398,0.039724950958043334,0.03576570404203314,0.003959246916010191,-11.069953806465382,results/top10_without_sentiment/random/NVDA/seed_47/last_model_comparison_20260823_124916.csv,results/top10_without_sentiment/random/NVDA/seed_47/last_model_comparison_20260823_124916.csv
NVDA,48,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.002049820211449922,0.0019788274472474546,7.099276420246756e-05,-3.5876177228700947,0.03599316525322042,0.03576570404203314,0.00022746121118727425,-0.6359757686300642,results/top10_without_sentiment/random/NVDA/seed_48/last_model_comparison_20260823_125625.csv,results/top10_without_sentiment/random/NVDA/seed_48/last_model_comparison_20260823_125625.csv
NVDA,49,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.002201849036956213,0.0019788274472474546,0.00022302158970875828,-11.270390958998517,0.03759010901772663,0.03576570404203314,0.001824404975693486,-5.100989969467341,results/top10_without_sentiment/random/NVDA/seed_49/last_model_comparison_20260823_130330.csv,results/top10_without_sentiment/random/NVDA/seed_49/last_model_comparison_20260823_130330.csv
NVDA,50,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.0028007873339686443,0.0019788274472474546,0.0008219598867211897,-41.53772416410205,0.042410629877428475,0.03576570404203314,0.006644925835395332,-18.57904384486875,results/top10_without_sentiment/random/NVDA/seed_50/last_model_comparison_20260823_131037.csv,results/top10_without_sentiment/random/NVDA/seed_50/last_model_comparison_20260823_131037.csv
NVDA,51,Shared-target JEPA--MAE,random,09153d935a7c9a4488bb,0.0023806674079011997,0.0019788274472474546,0.0004018399606537451,-20.306973264025814,0.03813241625841903,0.03576570404203314,0.0023667122163858884,-6.617267239041186,results/top10_without_sentiment/random/NVDA/seed_51/last_model_comparison_20260823_131743.csv,results/top10_without_sentiment/random/NVDA/seed_51/last_model_comparison_20260823_131743.csv
AAPL,42,Shared-target JEPA--MAE,random,a7b43fe049d15b4cdf17,0.0013430740728381499,0.001071198807469044,0.0002718752653691058,-25.38046751671375,0.025455345355562473,0.021132184957203117,0.004323160398359355,-20.457706607786257,results/top10_without_sentiment/random/AAPL/seed_42/last_model_comparison_20260823_132445.csv,results/top10_without_sentiment/random/AAPL/seed_42/last_model_comparison_20260823_132445.csv
AAPL,43,Shared-target JEPA--MAE,random,a7b43fe049d15b4cdf17,0.0012327234350827654,0.001071198807469044,0.00016152462761372132,-15.078865518470913,0.024197717395758152,0.021132184957203117,0.0030655324385550353,-14.506462274314506,results/top10_without_sentiment/random/AAPL/seed_43/last_model_comparison_20260823_133157.csv,results/top10_without_sentiment/random/AAPL/seed_43/last_model_comparison_20260823_133157.csv
AAPL,44,Shared-target JEPA--MAE,random,a7b43fe049d15b4cdf17,0.0012206956304926413,0.001071198807469044,0.00014949682302359724,-13.956029635322148,0.024119884530572514,0.021132184957203117,0.002987699573369397,-14.13814794551573,results/top10_without_sentiment/random/AAPL/seed_44/last_model_comparison_20260823_133909.csv,results/top10_without_sentiment/random/AAPL/seed_44/last_model_comparison_20260823_133909.csv
AAPL,45,Shared-target JEPA--MAE,random,a7b43fe049d15b4cdf17,0.0012637619313897856,0.001071198807469044,0.00019256312392074149,-17.976413209021075,0.024295288944420842,0.021132184957203117,0.0031631039872177247,-14.968182389202253,results/top10_without_sentiment/random/AAPL/seed_45/last_model_comparison_20260823_134621.csv,results/top10_without_sentiment/random/AAPL/seed_45/last_model_comparison_20260823_134621.csv
AAPL,46,Shared-target JEPA--MAE,random,a7b43fe049d15b4cdf17,0.0012353917178930616,0.001071198807469044,0.0001641929104240175,-15.327958664550923,0.024462879775092004,0.021132184957203117,0.003330694817888887,-15.76124203263509,results/top10_without_sentiment/random/AAPL/seed_46/last_model_comparison_20260823_135331.csv,results/top10_without_sentiment/random/AAPL/seed_46/last_model_comparison_20260823_135331.csv
AAPL,47,Shared-target JEPA--MAE,random,a7b43fe049d15b4cdf17,0.0011992612509513986,0.001071198807469044,0.00012806244348235454,-11.955058443813225,0.023701452175890536,0.021132184957203117,0.002569267218687419,-12.158076525880768,results/top10_without_sentiment/random/AAPL/seed_47/last_model_comparison_20260823_140043.csv,results/top10_without_sentiment/random/AAPL/seed_47/last_model_comparison_20260823_140043.csv
