stock,model,n_paired_seeds,delta_mse,relative_mse_improvement_pct,delta_mae,relative_mae_improvement_pct
AAPL,GRU,10,0.0002591536488821402,-24.192861966907046,0.003774945411439,-17.863488413924145
AAPL,Local-MAE/Long-JEPA,10,0.0002398146509641163,-22.38750167494436,0.0037620886258388775,-17.80264858299251
AAPL,Shared-target JEPA--MAE,10,0.00015254452306338374,-14.240542651816947,0.003072013203667372,-14.53713002175975
AMZN,GRU,10,0.0007520359190588417,-70.99366827506923,0.007788225873633844,-32.37565673703294
AMZN,Local-MAE/Long-JEPA,10,0.000323595032190739,-30.548006802068954,0.004010568492384131,-16.67193413963033
AMZN,Shared-target JEPA--MAE,10,0.00040823896258968434,-38.53856013064022,0.0051989288659962316,-21.611948484387177
AVGO,GRU,10,-2.4752724259488428e-05,0.8221074583217789,0.0018151069746205693,-4.555281127549488
AVGO,Local-MAE/Long-JEPA,10,0.003547583540096264,-117.8252081168295,0.019046703769433265,-47.80053816996766
AVGO,Shared-target JEPA--MAE,10,0.002641563303104399,-87.73373267303235,0.016215981405203868,-40.69641905004529
COST,GRU,10,5.788571427228254e-05,-14.200240864254488,0.0022878866843683114,-15.352014311652539
COST,Local-MAE/Long-JEPA,10,5.880163724602087e-05,-14.424930617222023,0.0019652362620016794,-13.186988423055748
COST,Shared-target JEPA--MAE,10,5.73993640934029e-05,-14.080931812422142,0.0017473910888044226,-11.725219254373298
GOOGL,GRU,10,3.8038657779300304e-05,-2.4938047060120954,0.0013724273790017237,-4.597526602399825
GOOGL,Local-MAE/Long-JEPA,10,0.0013902439032193099,-91.14403585080211,0.010731509052045457,-35.949733374279724
GOOGL,Shared-target JEPA--MAE,10,0.0010638390136582432,-69.74501450847441,0.008584824424316673,-28.758504290723643
META,GRU,10,0.0003015019218743644,-22.638012494253704,0.005168282066128749,-20.617203309500752
META,Local-MAE/Long-JEPA,10,0.0003355048168933597,-25.19109062223184,0.004825864588523179,-19.251238630678866
META,Shared-target JEPA--MAE,10,0.0003737365414595962,-28.06168677971828,0.005652992004210022,-22.55079811173696
MSFT,GRU,10,3.7097842975496814e-05,-4.863556850795336,0.0014940443570039298,-7.839555562204242
MSFT,Local-MAE/Long-JEPA,10,0.0002554959529895495,-33.49572354741915,0.004619323637177178,-24.238533577459656
MSFT,Shared-target JEPA--MAE,10,0.00032333574097006103,-42.38957394748278,0.0054414502286205075,-28.552399536372832
NVDA,GRU,10,0.0003815720994124378,-19.282737357580313,0.003789813602098122,-10.596222564622794
NVDA,Local-MAE/Long-JEPA,10,0.0006152246908355065,-31.090365746204036,0.004311659179971018,-12.055289544709648
NVDA,Shared-target JEPA--MAE,10,0.0004684646082152693,-23.673848311883017,0.003503164965659384,-9.794760258437352
TSLA,GRU,10,0.0011213849902483532,-34.198148811800856,0.007437743593595528,-17.131139574284695
TSLA,Local-MAE/Long-JEPA,10,0.0015441141717883813,-47.08984576076302,0.00939758499790179,-21.64518556392365
TSLA,Shared-target JEPA--MAE,10,0.0010702073335727166,-32.63741709695503,0.0068472825303232555,-15.771147694918506
WMT,GRU,10,5.112328030610232e-05,-6.961466941640181,-9.625701245998923e-05,0.49534714559726123
WMT,Local-MAE/Long-JEPA,10,8.596326167722556e-05,-11.705633926040118,0.0016595438920194252,-8.54016044022652
WMT,Shared-target JEPA--MAE,10,0.0001023858779208213,-13.941904748070845,0.00226649625134948,-11.663591253463498
