stock,method,relative_mse_improvement_pct,relative_mae_improvement_pct,n_paired_seeds
AAPL,Drift,-7.25720959194067,-4.956613145358353,10
AAPL,GRU,-24.192861966907046,-17.863488413924145,10
AAPL,Local-MAE/Long-JEPA,-22.38750167494436,-17.80264858299251,10
AAPL,Mean-context,-670.4342573894041,-267.5661098075076,10
AAPL,Shared-target JEPA--MAE,-14.240542651816947,-14.53713002175975,10
AMZN,Drift,-11.171223062618932,-4.369985512604549,10
AMZN,GRU,-70.99366827506923,-32.37565673703294,10
AMZN,Local-MAE/Long-JEPA,-30.548006802068954,-16.67193413963033,10
AMZN,Mean-context,-481.7369397511469,-161.16651564171443,10
AMZN,Shared-target JEPA--MAE,-38.53856013064022,-21.611948484387177,10
AVGO,Drift,-6.4861169655008695,-1.9249561645442597,10
AVGO,GRU,0.8221074583217789,-4.555281127549488,10
AVGO,Local-MAE/Long-JEPA,-117.8252081168295,-47.80053816996766,10
AVGO,Mean-context,-1021.7346058312776,-295.5842916917067,10
AVGO,Shared-target JEPA--MAE,-87.73373267303235,-40.69641905004529,10
COST,Drift,-10.669221922419503,-2.7057608951566783,10
COST,GRU,-14.200240864254488,-15.352014311652539,10
COST,Local-MAE/Long-JEPA,-14.424930617222023,-13.186988423055748,10
COST,Mean-context,-197.28605996847423,-91.76256004826955,10
COST,Shared-target JEPA--MAE,-14.080931812422142,-11.725219254373298,10
GOOGL,Drift,-0.4732556675083216,-3.4500563991742963,10
GOOGL,GRU,-2.4938047060120954,-4.597526602399825,10
GOOGL,Local-MAE/Long-JEPA,-91.14403585080211,-35.949733374279724,10
GOOGL,Mean-context,-1660.1286805084849,-382.0463899053939,10
GOOGL,Shared-target JEPA--MAE,-69.74501450847441,-28.758504290723643,10
META,Drift,-10.89727249527003,-3.559449843858121,10
META,GRU,-22.638012494253704,-20.617203309500752,10
META,Local-MAE/Long-JEPA,-25.19109062223184,-19.251238630678866,10
META,Mean-context,-860.0115145448857,-274.11358665323786,10
META,Shared-target JEPA--MAE,-28.06168677971828,-22.55079811173696,10
MSFT,Drift,-7.7931396971258895,-3.673472753480513,10
MSFT,GRU,-4.863556850795336,-7.839555562204242,10
MSFT,Local-MAE/Long-JEPA,-33.49572354741915,-24.238533577459656,10
MSFT,Mean-context,-1023.3761828565137,-276.43424071135917,10
MSFT,Shared-target JEPA--MAE,-42.38957394748278,-28.552399536372832,10
NVDA,Drift,-2.2299570101622046,0.42159812798468976,10
NVDA,GRU,-19.282737357580313,-10.596222564622794,10
NVDA,Local-MAE/Long-JEPA,-31.090365746204036,-12.055289544709648,10
NVDA,Mean-context,-1229.9928225846252,-250.1660066680826,10
NVDA,Shared-target JEPA--MAE,-23.673848311883017,-9.794760258437352,10
TSLA,Drift,-22.621270821379735,-7.335380420785439,10
TSLA,GRU,-34.198148811800856,-17.131139574284695,10
TSLA,Local-MAE/Long-JEPA,-47.08984576076302,-21.64518556392365,10
TSLA,Mean-context,-643.1534795854204,-181.46187763418652,10
TSLA,Shared-target JEPA--MAE,-32.63741709695503,-15.771147694918506,10
WMT,Drift,-7.152197113661897,-2.9100836306627422,10
WMT,GRU,-6.961466941640181,0.49534714559726123,10
WMT,Local-MAE/Long-JEPA,-11.705633926040118,-8.54016044022652,10
WMT,Mean-context,-225.74500912005004,-104.67071065693753,10
WMT,Shared-target JEPA--MAE,-13.941904748070845,-11.663591253463498,10
AAPL,Naive-last,0.0,0.0,10
AMZN,Naive-last,0.0,0.0,10
AVGO,Naive-last,0.0,0.0,10
COST,Naive-last,0.0,0.0,10
GOOGL,Naive-last,0.0,0.0,10
META,Naive-last,0.0,0.0,10
MSFT,Naive-last,0.0,0.0,10
NVDA,Naive-last,0.0,0.0,10
TSLA,Naive-last,0.0,0.0,10
WMT,Naive-last,0.0,0.0,10
