stock,method,mse_mean,mse_std,mae_mean,mae_std,direction_accuracy_mean,direction_accuracy_std,n_valid_seeds,n_direction_seeds
AAPL,Shared-target JEPA--MAE,0.0012237433305324278,5.091498698088627e-05,0.024204198160870487,0.000550114881118687,0.5440789473684211,0.029101463855322137,10,10
AAPL,Local-MAE/Long-JEPA,0.0013110134584331603,0.0001809800234796782,0.024894273583041995,0.001606583952484059,0.5190789473684211,0.031391071240836566,10,10
AAPL,GRU,0.0013303524563511842,0.00011635965374328114,0.024907130368642116,0.0016017226112606164,0.5,0.03132205451115285,10,10
AAPL,Naive-last,0.001071198807469044,0.0,0.021132184957203117,0.0,0.0,0.0,10,10
AAPL,Drift,0.0011489379500734416,0.0,0.022179625614693287,0.0,0.5,0.0,10,10
AAPL,Mean-context,0.008252882577488282,0.0,0.07767475016451882,0.0,0.0,0.0,10,10
AMZN,Shared-target JEPA--MAE,0.0014675389499421245,0.00014978578636302425,0.029254737021156434,0.0012703234955438977,0.5447368421052632,0.02052519115227646,10,10
AMZN,Local-MAE/Long-JEPA,0.0013828950195431792,6.744920738382601e-05,0.028066376647544335,0.0009375507311970286,0.5638157894736843,0.04207441304031442,10,10
AMZN,GRU,0.0018113359064112818,0.00022460488634711912,0.031844034028794044,0.0016807258902292298,0.5072368421052632,0.04324681504328522,10,10
AMZN,Naive-last,0.0010592999873524401,0.0,0.024055808155160202,0.0,0.0,0.0,10,10
AMZN,Drift,0.0011776367518418753,0.0,0.025107043486480646,0.0,0.5328947368421053,0.0,10,10
AMZN,Mean-context,0.006162339329208372,0.0,0.06282571596828729,0.0,0.0,0.0,10,10
AVGO,Shared-target JEPA--MAE,0.005652450019789559,0.0026812971708902607,0.056062193390741755,0.010764936134625674,0.5578947368421052,0.044056575452097166,10,10
AVGO,Local-MAE/Long-JEPA,0.0065584702567814245,0.0024637659930687138,0.058892915754971145,0.009633903116756598,0.5638157894736843,0.029916331978570108,10,10
AVGO,GRU,0.0029861339924256713,7.288096137783812e-05,0.04166131896015845,0.000899909315619659,0.5427631578947368,0.02407291491239049,10,10
AVGO,Naive-last,0.00301088671668516,0.0,0.03984621198553788,0.0,0.0,0.0,10,10
AVGO,Drift,0.003206176350828088,0.0,0.040613234099490865,0.0,0.5723684210526315,0.0,10,10
AVGO,Mean-context,0.03377415824343458,0.0,0.15762535544896597,0.0,0.0,0.0,10,10
COST,Shared-target JEPA--MAE,0.0004650383247676206,3.951332409281218e-05,0.01665023470217802,0.0009593565725085968,0.47302631578947374,0.049568195466919325,10,10
COST,Local-MAE/Long-JEPA,0.0004664405979202386,2.699974883615378e-05,0.016868079875375277,0.0009008765375120207,0.46052631578947373,0.03425548103467831,10,10
COST,GRU,0.0004655246749465002,2.6733839624366517e-05,0.01719073029774191,0.0006030016159600306,0.4756578947368421,0.03132973054472262,10,10
COST,Naive-last,0.0004076389606742177,0.0,0.014902843613373597,0.0,0.006578947368421052,0.0,10,10
COST,Drift,0.00045113086603079433,0.0,0.015306078928130618,0.0,0.5,0.0,10,10
COST,Mean-context,0.00121185380508482,0.0,0.028578074432995253,0.0,0.006578947368421052,0.0,10,10
